Medium variant estimate of the 2017 version of the UN Population Prospects through 2100 for the RICE model regions.  Values remain constant after 2100.,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.000847815,-0.000281172,-1.27E-05,5.20E-05,1.73E-05,0.00087465,-0.000966798,-0.000720939,-0.000207944,-0.000149865,8.51E-05,-0.000233489
2,2015-2025,0.001721763,-0.003245264,8.65E-05,7.91E-05,2.56E-05,0.001712407,-0.000956611,-0.000746406,-0.000598396,1.86E-05,-5.33E-05,0.000106292
3,2025-2035,0.002769745,-0.004132401,0.000127637,0.000121904,4.49E-05,0.001769684,-0.001743222,-0.001038988,-0.001765566,0.00015916,-2.69E-05,0.00037637
4,2035-2045,0.004342425,-0.005337816,0.000184883,0.000174604,7.51E-05,8.33E-05,-0.002640519,-0.00104391,-0.00495521,0.000543945,-1.03E-05,0.001111799
5,2045-2055,0.006403271,-0.006304122,0.000252862,0.000233163,0.000113985,-0.004205671,-0.003448135,-0.000480733,-0.012805196,0.001350773,3.55E-05,0.002746999
6,2055-2065,0.008991645,-0.006622845,0.000345519,0.000285286,0.000152,-0.012414297,-0.003693021,0.00106571,-0.030088944,0.00281901,0.000129447,0.005927027
7,2065-2075,0.012078474,-0.005847533,0.000462106,0.000309815,0.000171522,-0.026035704,-0.002693578,0.003976552,-0.064138042,0.00519754,0.000298363,0.011489058
8,2075-2085,0.01537689,-0.003374151,0.000615338,0.000280536,0.00014446,-0.047613156,0.000340442,0.008525062,-0.124027063,0.008731079,0.000580644,0.020488886
9,2085-2095,0.01835565,0.001906702,0.000834128,0.000138176,1.92E-05,-0.082268015,0.006309265,0.014828895,-0.217823159,0.013749751,0.00104272,0.03437869
10,2095-2105,0.020088352,0.012330616,0.001163333,-0.000255577,-0.000312258,-0.141791233,0.01662491,0.022780568,-0.346954177,0.020999155,0.001824323,0.055854686
11,2105-2115,0.01745502,0.029070527,0.001662361,-0.000381414,-0.000456481,-0.26112215,0.031188145,0.029002375,-0.477415897,0.03205676,0.002732734,0.088658438
12,2115-2025,0.009346346,0.047008646,0.00216179,-0.000420694,-0.000539059,-0.35882546,0.043222118,0.027805005,-0.639423453,0.044063553,0.003094157,0.125561441
13,2125-2135,-0.029999372,0.096047803,0.003347373,-0.000450725,-0.000615443,-0.451130934,0.05182495,-0.006439448,-0.842256826,0.068725481,0.00298882,0.191288954
14,2135-2145,0,0,0,0,0,0,0,0,0,0,0,0
15,2145-2155,0,0,0,0,0,0,0,0,0,0,0,0
16,2155-2165,0,0,0,0,0,0,0,0,0,0,0,0
17,2165-2175,0,0,0,0,0,0,0,0,0,0,0,0
18,2175-2185,0,0,0,0,0,0,0,0,0,0,0,0
19,2185-2195,0,0,0,0,0,0,0,0,0,0,0,0
20,2195-2205,0,0,0,0,0,0,0,0,0,0,0,0
21,2205-2215,0,0,0,0,0,0,0,0,0,0,0,0
22,2215-2225,0,0,0,0,0,0,0,0,0,0,0,0
23,2225-2235,0,0,0,0,0,0,0,0,0,0,0,0
24,2235-2245,0,0,0,0,0,0,0,0,0,0,0,0
25,2245-2255,0,0,0,0,0,0,0,0,0,0,0,0
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
35,2345-2355,0,0,0,0,0,0,0,0,0,0,0,0
36,2355-2365,0,0,0,0,0,0,0,0,0,0,0,0
37,2365-2375,0,0,0,0,0,0,0,0,0,0,0,0
38,2375-2385,0,0,0,0,0,0,0,0,0,0,0,0
39,2385-2395,0,0,0,0,0,0,0,0,0,0,0,0
40,2395-2405,0,0,0,0,0,0,0,0,0,0,0,0
41,2405-2415,0,0,0,0,0,0,0,0,0,0,0,0
42,2415-2425,0,0,0,0,0,0,0,0,0,0,0,0
43,2425-2435,0,0,0,0,0,0,0,0,0,0,0,0
44,2435-2445,0,0,0,0,0,0,0,0,0,0,0,0
45,2445-2455,0,0,0,0,0,0,0,0,0,0,0,0
46,2455-2465,0,0,0,0,0,0,0,0,0,0,0,0
47,2465-2475,0,0,0,0,0,0,0,0,0,0,0,0
48,2475-2485,0,0,0,0,0,0,0,0,0,0,0,0
49,2485-2495,0,0,0,0,0,0,0,0,0,0,0,0
50,2495-2505,0,0,0,0,0,0,0,0,0,0,0,0
51,2505-2515,0,0,0,0,0,0,0,0,0,0,0,0
52,2515-2525,0,0,0,0,0,0,0,0,0,0,0,0
53,2525-2535,0,0,0,0,0,0,0,0,0,0,0,0
54,2535-2545,0,0,0,0,0,0,0,0,0,0,0,0
55,2545-2555,0,0,0,0,0,0,0,0,0,0,0,0
56,2555-2565,0,0,0,0,0,0,0,0,0,0,0,0
57,2565-2575,0,0,0,0,0,0,0,0,0,0,0,0
58,2575-2585,0,0,0,0,0,0,0,0,0,0,0,0
59,2585-2595,0,0,0,0,0,0,0,0,0,0,0,0
60,2595-2605,0,0,0,0,0,0,0,0,0,0,0,0
