Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0,0,0,0,0,0,0,0,0,0,0,0
4,2035-2045,0,0,0,0,0,0,0,0,0,0,0,0
5,2045-2055,0,0,0,0,0,0,0,0,0,0,0,0
6,2055-2065,0,0,0,0,0,0,0,0,0,0,0,0
7,2065-2075,0,0,0,0,0,0,0,0,0,0,0,0
8,2075-2085,0,0,0,0,0,0,0,0,0,0,0,0
9,2085-2095,0,0,0,0,0,0,0,0,0,0,0,0
10,2095-2105,0,0,0,0,0,0,0,0,0,0,0,0
11,2105-2115,0,0,0,0,0,0,0,0,0,0,0,0
12,2115-2025,0,0,0,0,0,0,0,0,0,0,0,0
13,2125-2135,0,0,0,0,0,0,0,0,0,0,0,0
14,2135-2145,0,0,0,0,0,0,0,0,0,0,0,0
15,2145-2155,0,0,0,0,0,0,0,0,0,0,0,0
16,2155-2165,0,0,0,0,0,0,0,0,0,0,0,0
17,2165-2175,0,0,0,0,0,0,0,0,0,0,0,0
18,2175-2185,0,0,0,0,0,0,0,0,0,0,0,0
19,2185-2195,0,0,0,0,0,0,0,0,0,0,0,0
20,2195-2205,0,0,0,0,0,0,0,0,0,0,0,0
21,2205-2215,0,0,0,0,0,0,0,0,0,0,0,0
22,2215-2225,0,0,0,0,0,0,0,0,0,0,0,0
23,2225-2235,0,0,0,0,0,0,0,0,0,0,0,0
24,2235-2245,0,0,0,0,0,0,0,0,0,0,0,0
25,2245-2255,0,0,0,0,0,0,0,0,0,0,0,0
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
35,2345-2355,0,0,0,0,0,0,0,0,0,0,0,0
36,2355-2365,0,0,0,0,0,0,0,0,0,0,0,0
37,2365-2375,0,0,0,0,0,0,0,0,0,0,0,0
38,2375-2385,0,0,0,0,0,0,0,0,0,0,0,0
39,2385-2395,0,0,0,0,0,0,0,0,0,0,0,0
40,2395-2405,0,0,0,0,0,0,0,0,0,0,0,0
41,2405-2415,0,0,0,0,0,0,0,0,0,0,0,0
42,2415-2425,0,0,0,0,0,0,0,0,0,0,0,0
43,2425-2435,0,0,0,0,0,0,0,0,0,0,0,0
44,2435-2445,0,0,0,0,0,0,0,0,0,0,0,0
45,2445-2455,0,0,0,0,0,0,0,0,0,0,0,0
46,2455-2465,0,0,0,0,0,0,0,0,0,0,0,0
47,2465-2475,0,0,0,0,0,0,0,0,0,0,0,0
48,2475-2485,0,0,0,0,0,0,0,0,0,0,0,0
49,2485-2495,0,0,0,0,0,0,0,0,0,0,0,0
50,2495-2505,0,0,0,0,0,0,0,0,0,0,0,0
51,2505-2515,0,0,0,0,0,0,0,0,0,0,0,0
52,2515-2525,0,0,0,0,0,0,0,0,0,0,0,0
53,2525-2535,0,0,0,0,0,0,0,0,0,0,0,0
54,2535-2545,0,0,0,0,0,0,0,0,0,0,0,0
55,2545-2555,0,0,0,0,0,0,0,0,0,0,0,0
56,2555-2565,0,0,0,0,0,0,0,0,0,0,0,0
57,2565-2575,0,0,0,0,0,0,0,0,0,0,0,0
58,2575-2585,0,0,0,0,0,0,0,0,0,0,0,0
59,2585-2595,0,0,0,0,0,0,0,0,0,0,0,0
60,2595-2605,0,0,0,0,0,0,0,0,0,0,0,0
