Medium variant estimate of the 2017 version of the UN Population Prospects through 2100 for the RICE model regions.  Values remain constant after 2100.,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.204339116,0.136526644,-1.09E-02,3.82E-02,9.45E-02,-0.036675974,-0.06856632,-0.151895254,-0.050556588,-0.06613132,-1.18E-02,-0.076970377
2,2015-2025,0.047464948,0.019029775,2.16E-03,8.07E-03,1.73E-02,-0.034522906,-0.006547977,-0.021912816,-0.00973561,-7.25E-03,-5.54E-03,-0.008540808
3,2025-2035,0.093436997,0.046754246,0.006420193,0.015958867,3.30E-02,-0.071664281,-0.015616429,-0.042317286,-0.026550408,-0.014265758,-7.18E-03,-0.017933326
4,2035-2045,0.170436443,0.095014849,0.014736859,0.029317515,5.83E-02,-1.26E-01,-0.030996581,-0.074650414,-0.065963576,-0.025464577,-9.27E-03,-0.035556747
5,2045-2055,0.286952625,0.172600068,0.029153073,0.049513398,0.095545384,-0.194129712,-0.054483507,-0.121676249,-0.147214205,-0.041332063,-1.01E-02,-0.064793563
6,2055-2065,0.451781368,0.288562481,0.050983129,0.078037154,0.146884259,-0.272475374,-0.085704925,-0.183572915,-0.297303296,-0.060860719,-0.008443214,-0.107887948
7,2065-2075,0.672518072,0.450399394,0.082213291,0.116139776,0.214148512,-0.357417875,-0.121033606,-0.258065001,-0.54923874,-0.081338378,-0.003017986,-0.165307458
8,2075-2085,0.957023588,0.663296275,0.124031103,0.164467519,0.298673788,-0.447859878,-0.154080262,-0.341547456,-0.937342034,-0.098684441,0.007429921,-0.235408124
9,2085-2095,1.311089728,0.930744225,0.176835907,0.223070571,4.01E-01,-0.545323536,-0.177897138,-0.429496494,-1.490734582,-0.10848394,0.023695753,-0.314541975
10,2095-2105,1.735670825,1.254400783,0.240976136,0.291712475,0.520923157,-0.654798535,-0.18622224,-0.51601684,-2.227037155,-0.107074897,0.045661668,-0.398195378
11,2105-2115,2.226611683,1.621137471,0.313018573,0.369184712,0.654843199,-0.83478455,-0.207598414,-0.599016978,-3.011013964,-0.105642752,0.073227883,-0.499966861
12,2115-2025,2.770089721,2.023891039,0.392685866,0.453842397,0.799768183,-1.078855324,-0.229120235,-0.675517748,-3.853313371,-0.096958255,0.105583265,-0.612095538
13,2125-2135,3.351820971,2.459366676,0.478907433,0.5444623,0.953638667,-1.363131712,-0.248195813,-0.747462215,-4.759327118,-0.080155125,0.142689019,-0.732613082
14,2135-2145,3.982174005,2.918897286,0.570411586,0.64191318,1.117641289,-1.689473615,-0.256532336,-0.80884378,-5.732865476,-0.059227861,0.182911173,-0.867005451
15,2145-2155,4.630633445,3.388283604,0.665213659,0.741630106,1.28419383,-2.062021118,-0.245586747,-0.855109174,-6.751156958,-0.024575804,0.224801205,-0.996306047
16,2155-2165,5.307980394,3.87507851,0.764504327,0.845554223,1.457005416,-2.477249597,-0.216679593,-0.890309687,-7.829480548,0.021320342,0.268775592,-1.126499379
