Cumulative fossil CO2 emissions from 1990-2004 GtCO2,,,,,,,,,,,,
Conversion factor from CO2 eq to C,3.67,,,,,,,,,,,
,US,Europe,Japan,OHI,Russia,Eurasia,China,India,MidEast,Africa,LatAm,Oasia
Gt CO2 eq,328.318386,301.0930288,46.10089763,48.94439831,89.6296939,69.3349303,93.61402628,23.1103419,27.62620888,27.77361787,42.39888752,24.02054117
Gt C eq,89.46005069,82.04169721,12.56155249,13.33634831,24.42225992,18.89235158,25.50790907,6.297095886,7.527577352,7.567743287,11.55283039,6.545106586
Shares,0.292628022,0.268362239,0.041089427,0.043623821,0.079886358,0.061797768,0.083437567,0.020598096,0.024623059,0.024754443,0.03778985,0.021409351
,,,,,,,,,,,,
GT C for PP scenario,US,Europe,Japan,OHI,Russia,Eurasia,China,India,MidEast,Africa,LatAm,Oasia
2005-2015,89.46005069,82.04169721,12.56155249,13.33634831,24.42225992,18.89235158,25.50790907,6.297095886,7.527577352,7.567743287,11.55283039,6.545106586
2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
2025-2035,0,0,0,0,0,0,0,0,0,0,0,0
2035-2045,0,0,0,0,0,0,0,0,0,0,0,0
2045-2055,0,0,0,0,0,0,0,0,0,0,0,0
2055-2065,0,0,0,0,0,0,0,0,0,0,0,0
2065-2075,0,0,0,0,0,0,0,0,0,0,0,0
2075-2085,0,0,0,0,0,0,0,0,0,0,0,0
2085-2095,0,0,0,0,0,0,0,0,0,0,0,0
2095-2105,0,0,0,0,0,0,0,0,0,0,0,0
2105-2115,0,0,0,0,0,0,0,0,0,0,0,0
2115-2025,0,0,0,0,0,0,0,0,0,0,0,0
2125-2135,0,0,0,0,0,0,0,0,0,0,0,0
2135-2145,0,0,0,0,0,0,0,0,0,0,0,0
2145-2155,0,0,0,0,0,0,0,0,0,0,0,0
2155-2165,0,0,0,0,0,0,0,0,0,0,0,0
2165-2175,0,0,0,0,0,0,0,0,0,0,0,0
2175-2185,0,0,0,0,0,0,0,0,0,0,0,0
2185-2195,0,0,0,0,0,0,0,0,0,0,0,0
2195-2205,0,0,0,0,0,0,0,0,0,0,0,0
2205-2215,0,0,0,0,0,0,0,0,0,0,0,0
2215-2225,0,0,0,0,0,0,0,0,0,0,0,0
2225-2235,0,0,0,0,0,0,0,0,0,0,0,0
2235-2245,0,0,0,0,0,0,0,0,0,0,0,0
2245-2255,0,0,0,0,0,0,0,0,0,0,0,0
2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
2345-2355,0,0,0,0,0,0,0,0,0,0,0,0
2355-2365,0,0,0,0,0,0,0,0,0,0,0,0
2365-2375,0,0,0,0,0,0,0,0,0,0,0,0
2375-2385,0,0,0,0,0,0,0,0,0,0,0,0
2385-2395,0,0,0,0,0,0,0,0,0,0,0,0
2395-2405,0,0,0,0,0,0,0,0,0,0,0,0
2405-2415,0,0,0,0,0,0,0,0,0,0,0,0
2415-2425,0,0,0,0,0,0,0,0,0,0,0,0
2425-2435,0,0,0,0,0,0,0,0,0,0,0,0
2435-2445,0,0,0,0,0,0,0,0,0,0,0,0
2445-2455,0,0,0,0,0,0,0,0,0,0,0,0
2455-2465,0,0,0,0,0,0,0,0,0,0,0,0
2465-2475,0,0,0,0,0,0,0,0,0,0,0,0
2475-2485,0,0,0,0,0,0,0,0,0,0,0,0
2485-2495,0,0,0,0,0,0,0,0,0,0,0,0
2495-2505,0,0,0,0,0,0,0,0,0,0,0,0
2505-2515,0,0,0,0,0,0,0,0,0,0,0,0
2515-2525,0,0,0,0,0,0,0,0,0,0,0,0
2525-2535,0,0,0,0,0,0,0,0,0,0,0,0
2535-2545,0,0,0,0,0,0,0,0,0,0,0,0
2545-2555,0,0,0,0,0,0,0,0,0,0,0,0
2555-2565,0,0,0,0,0,0,0,0,0,0,0,0
2565-2575,0,0,0,0,0,0,0,0,0,0,0,0
2575-2585,0,0,0,0,0,0,0,0,0,0,0,0
2585-2595,0,0,0,0,0,0,0,0,0,0,0,0
2595-2605,0,0,0,0,0,0,0,0,0,0,0,0
