Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.008426786,0.001259379,0.000184715,0.003610396,0.005307859,-0.002665509,0.000622298,-0.008424182,-0.001785222,-0.003306627,0.000454205,-0.003684099
2,2015-2025,0.030553405,-0.001216662,0.003401376,0.010660702,0.014400988,-0.025523736,0.004931863,-0.018801334,-0.005670396,-0.00552445,-0.001221094,-0.005990661
3,2025-2035,0.062204193,0.000604665,0.00877217,0.020816568,0.02683993,-0.056726461,0.007947589,-0.033777157,-0.016099273,-0.00902252,-0.001407162,-0.010152541
4,2035-2045,0.114086564,0.007555456,0.018358333,0.037457634,0.046476068,-0.10246867,0.010563879,-0.057280873,-0.041928123,-0.014534512,-0.000247533,-0.018038224
5,2045-2055,0.191735288,0.022841671,0.033896483,0.062098003,0.0746075,-0.161399278,0.012329757,-0.090140712,-0.096790885,-0.021690164,0.00334835,-0.030836014
6,2055-2065,0.300802805,0.050655722,0.056927541,0.096199814,0.112508534,-0.230634415,0.013765273,-0.132059547,-0.200363255,-0.029298359,0.010720489,-0.049224603
7,2065-2075,0.446263314,0.095478205,0.089035413,0.140852211,0.161094326,-0.306735695,0.017144333,-0.181028222,-0.377551373,-0.034997219,0.023234333,-0.072789625
8,2075-2085,0.632965911,0.161526508,0.13160451,0.196694857,0.22097136,-0.387377318,0.026724365,-0.233846681,-0.656329803,-0.035357092,0.042284692,-0.099861308
9,2085-2095,0.864819505,0.2527389,0.185610672,0.263675873,0.292224142,-0.471976023,0.048005994,-0.286547389,-1.063715457,-0.026332173,0.069087967,-0.127592011
10,2095-2105,1.143497769,0.372826018,0.251691755,0.340922102,0.374254891,-0.562346367,0.086789268,-0.334731329,-1.620808534,-0.003966417,0.104409314,-0.15253847
11,2105-2115,1.465764872,0.521846416,0.328761483,0.425478382,0.464290868,-0.677237638,0.13852487,-0.375369488,-2.29515366,0.031156319,0.148346088,-0.176408513
12,2115-2025,1.821722555,0.697490766,0.415028845,0.517969935,0.562064808,-0.826655087,0.200553968,-0.408039736,-3.058142006,0.078858958,0.199694273,-0.200547279
13,2125-2135,2.197627068,0.896418902,0.508388745,0.616584028,0.665681366,-0.993959794,0.26848329,-0.436694601,-3.887494538,0.137120431,0.256601715,-0.228756611
14,2135-2145,2.61022225,1.116851478,0.608584037,0.72205462,0.776070235,-1.179014258,0.337591714,-0.459856193,-4.784079391,0.20304352,0.317253426,-0.268721437
15,2145-2155,3.049882488,1.346055244,0.71215299,0.831939487,0.890759683,-1.38622755,0.418000493,-0.466716823,-5.721740809,0.268253455,0.382541867,-0.324900527
16,2155-2165,3.511346352,1.578496093,0.818013584,0.945386902,1.008968125,-1.622224198,0.510909101,-0.461032572,-6.700780579,0.340254205,0.451476786,-0.380813798
17,2165-2175,3.996875188,1.822984214,0.928636637,1.063331559,1.131787178,-1.891091259,0.616678182,-0.444912188,-7.73226323,0.421908276,0.523834515,-0.437769074
18,2175-2185,4.511075876,2.081605175,1.045180966,1.187157755,1.26075367,-2.194790258,0.737094802,-0.419122534,-8.826563245,0.513777011,0.600214743,-0.49638396
19,2185-2195,5.057643185,2.356235633,1.16858171,1.317947865,1.397056519,-2.534673007,0.873586025,-0.384086141,-9.992388967,0.616327546,0.681181581,-0.557411948
20,2195-2205,5.639496821,2.648480544,1.299576926,1.456537864,1.541606336,-2.911679689,1.027285385,-0.340000625,-11.23680729,0.729941873,0.767230817,-0.621668959
21,2205-2215,6.258835608,2.959625504,1.438722611,1.603547525,1.695074388,-3.32641193,1.199075169,-0.286922461,-12.56525812,0.854917166,0.858770366,-0.689975821
22,2215-2225,6.917248677,3.290655426,1.586422514,1.759421383,1.857940413,-3.779197468,1.389626952,-0.224832434,-13.9817489,0.991471838,0.956120878,-0.763129277
23,2225-2235,7.615851402,3.642303523,1.742963052,1.924471912,2.030541005,-4.270157034,1.599442016,-0.15368015,-15.48912969,1.13975724,1.059526917,-0.841890193
24,2235-2245,8.355418028,4.015108281,1.908546421,2.098918451,2.21311237,-4.799270893,1.828890423,-0.073410114,-17.08937706,1.299872713,1.169171871,-0.926980493
25,2245-2255,9.136499427,4.409468528,2.083319369,2.282919943,2.405825825,-5.366442181,2.078247874,0.016025959,-18.78385564,1.47188206,1.285193259,-1.019084422
26,2255-2265,9.959522239,4.825692512,2.267397012,2.476601371,2.608816242,-5.971554435,2.347729495,0.11466607,-20.57354527,1.655829898,1.407696886,-1.118852019
27,2265-2275,10.82870401,5.265889782,2.46174932,2.681018349,2.82320121,-6.61686095,2.638439502,0.222589716,-22.46695855,1.852415333,1.537305946,-1.227493668
28,2275-2285,11.74068388,5.728479314,2.665624288,2.895347323,3.04811527,-7.30016252,2.949726374,0.339822379,-24.45712032,2.061085115,1.673564272,-1.345165381
29,2285-2295,12.69465322,6.213098386,2.878852556,3.119406799,3.283369246,-8.020718101,3.281450504,0.466349717,-26.54225867,2.281671994,1.816369635,-1.47224529
30,2295-2305,13.69134788,6.720118889,3.101613605,3.35339434,3.529173421,-8.778792545,3.633851367,0.602194281,-28.72374266,2.514283768,1.965830436,-1.609272779
31,2305-2315,14.73183255,7.250060735,3.334158945,3.59758347,3.785818368,-9.574944735,4.007280634,0.747414337,-31.00358784,2.759108582,2.122094799,-1.75681985
32,2315-2325,15.81723714,7.803466275,3.576752728,3.85225929,4.053607174,-10.40985794,4.40213987,0.902098198,-33.38392525,3.016368404,2.285314596,-1.915460478
33,2325-2335,16.94874727,8.38089832,3.829670053,4.117716918,4.332853785,-11.2843243,4.818877798,1.066362983,-35.86699489,3.286315477,2.455645529,-2.085768941
34,2335-2345,18.12764118,8.98296059,4.093205638,4.394271005,4.62389301,-12.19926103,5.258000022,1.240356007,-38.45523273,3.569237872,2.633253651,-2.268325211
35,2345-2355,19.35532198,9.610315643,4.367681319,4.682263895,4.927089117,-13.15572606,5.720078352,1.424256882,-41.15134588,3.865464933,2.818321032,-2.46372122
36,2355-2365,20.63333794,10.26369656,4.653450788,4.982070726,5.242841207,-14.15492739,6.205757272,1.618279411,-43.95836038,4.175370887,3.011049518,-2.672566548
37,2365-2375,21.96339319,10.94391364,4.950902116,5.294102157,5.571586092,-15.19822697,6.715757825,1.822672978,-46.87964744,4.499376793,3.211662949,-2.895493334
38,2375-2385,23.34735244,11.65185776,5.260458906,5.618805602,5.913799614,-16.28714109,7.250879693,2.037723447,-49.91893557,4.837951362,3.420408354,-3.13316052
39,2385-2395,24.78724217,12.3885018,5.58258065,5.956665615,6.269997069,-17.42333878,7.812002137,2.263753651,-53.08031435,5.191611094,3.637556511,-3.386257564
40,2395-2405,26.28525011,13.15490097,5.917762676,6.308203857,6.640733184,-18.60863936,8.400084278,2.50112359,-56.36823376,5.560920037,3.86340215,-3.655507735
41,2405-2415,27.84372393,13.95219256,6.26653592,6.673978866,7.026601897,-19.84500969,9.016165038,2.750230444,-59.78750121,5.946489395,4.098263948,-3.941671093
42,2415-2425,29.46516979,14.78159544,6.629466662,7.054585797,7.4282361,-21.13456164,9.661362983,3.011508485,-63.34327794,6.348977091,4.342484434,-4.245547202
43,2425-2435,31.15225112,15.64440958,7.007156296,7.450656204,7.846307432,-22.47954993,10.33687618,3.285428943,-67.04107544,6.769087398,4.596429859,-4.567977653
44,2435-2445,32.90778776,16.5420157,7.400241199,7.862857917,8.281526162,-23.88237056,11.0439822,3.572499892,-70.8867526,7.207570677,4.860490086,-4.909848435
45,2445-2455,34.73475567,17.47587501,7.809392705,8.291895041,8.734641213,-25.3455598,11.78403829,3.873266181,-74.88651387,7.665223248,5.135078513,-5.272092199
46,2455-2465,36.63628725,18.44752931,8.235317217,8.738508091,9.206440319,-26.87179386,12.55848176,4.188309443,-79.04690859,8.142887437,5.420632063,-5.655690445
47,2465-2475,38.61567225,19.45860131,8.678756446,9.203474268,9.697750338,-28.46388918,13.36883068,4.518248189,-83.37483166,8.641451784,5.717611238,-6.061675672
48,2475-2485,40.6763593,20.51079521,9.1404878,9.687607878,10.20943771,-30.12480338,14.21668477,4.863738024,-87.87752549,9.161851425,6.026500255,-6.491133509
49,2485-2495,42.82195812,21.60589759,9.621324896,10.1917609,10.74240908,-31.85763683,15.10372661,5.225471956,-92.56258339,9.705068665,6.347807258,-6.945204859
50,2495-2505,45.05624227,22.74577866,10.12211822,10.71682367,11.29761203,-33.66563476,16.03172309,5.604180845,-97.43795428,10.27213371,6.682064617,-7.425088067
51,2505-2515,47.38315256,23.93239365,10.64375591,11.26372575,11.87603603,-35.55218998,17.00252712,6.000633953,-102.5119487,10.86412555,7.029829307,-7.932041137
52,2515-2525,49.80680095,25.16778468,11.18716466,11.83343685,12.47871343,-37.52084618,18.01807971,6.41563963,-107.7932462,11.4821731,7.391683369,-8.467384005
53,2525-2535,52.33147512,26.4540827,11.75331077,12.42696797,13.10672066,-39.57530161,19.08041214,6.85004611,-113.2909038,12.12745635,7.768234451,-9.032500895
54,2535-2545,54.96164342,27.79350987,12.34320127,13.04537259,13.76117953,-41.71941342,20.19164854,7.304742433,-119.0143657,12.80120781,8.160116429,-9.62884275
55,2545-2555,57.7019605,29.18838211,12.9578852,13.68974799,14.44325865,-43.95720233,21.35400862,7.780659477,-124.9734746,13.50471402,8.567990104,-10.25792977
56,2555-2565,60.55727332,30.64111195,13.59845501,14.36123675,15.15417501,-46.29285784,22.56981072,8.278771113,-131.1784832,14.23931727,8.992543972,-10.92135403
57,2565-2575,63.53262769,32.15421157,14.26604801,15.06102824,15.89519563,-48.73074386,23.84147508,8.800095465,-137.640068,15.00641739,9.434495069,-11.62078227
58,2575-2585,66.63327531,33.73029615,14.96184798,15.79036039,16.66763934,-51.27540474,25.17152728,9.345696285,-144.3693429,15.80747376,9.894589889,-12.3579587
59,2585-2595,69.86468127,35.37208746,15.68708686,16.55052136,17.47287873,-53.93157173,26.56260208,9.916684445,-151.3778752,16.64400743,10.37360537,-13.13470807
60,2595-2605,73.23253195,37.0824176,16.44304659,17.34285153,18.31234211,-56.7041699,28.01744732,10.51421952,-158.6777012,17.51760331,10.87234993,-13.95293873
