Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.013285654,0.008876645,-0.000709353,0.002485591,0.006141119,-0.002384587,-0.004458023,-0.009875876,-0.003287072,-0.004299705,-0.000769959,-0.005004435
2,2015-2025,0.044497047,0.02025749,0.001066418,0.007770206,0.017175485,-0.026831246,-0.008118829,-0.023282612,-0.009581691,-0.008448736,-0.004609176,-0.009894355
3,2025-2035,0.090470346,0.043154416,0.004616913,0.015699711,0.033087963,-0.062904468,-0.015836035,-0.043482371,-0.023439586,-0.015123378,-0.007881391,-0.018362119
4,2035-2045,0.167425327,0.085964875,0.011627628,0.029155325,0.059172044,-0.118835254,-0.030267301,-0.076703837,-0.055185114,-0.026421621,-0.011649248,-0.034282826
5,2045-2055,0.28462963,0.156306942,0.023992136,0.049774573,0.09790834,-0.19498721,-0.053304654,-0.125727729,-0.11970832,-0.043077316,-0.015112338,-0.060694053
6,2055-2065,0.451637994,0.262871345,0.043443505,0.079237809,0.151820008,-0.289441395,-0.086008353,-0.192329058,-0.238498929,-0.065112372,-0.017159183,-0.100461371
7,2065-2075,0.676810045,0.413822605,0.071806272,0.118974063,0.222962179,-0.398803226,-0.127420662,-0.276292258,-0.438684656,-0.091271982,-0.016546616,-0.155355764
8,2075-2085,0.967775856,0.616071416,0.110640653,0.170001161,0.312913515,-0.520007146,-0.174323604,-0.375760039,-0.750653302,-0.11903851,-0.011955649,-0.22566435
9,2085-2095,1.330117295,0.87462897,0.160958287,0.232679195,0.422419595,-0.650971484,-0.221814234,-0.487379446,-1.203534858,-0.144966309,-0.002214174,-0.309922837
10,2095-2105,1.765450936,1.192014449,0.223246534,0.306604229,0.551078451,-0.791241747,-0.264144998,-0.606339615,-1.819586202,-0.165314312,0.01340605,-0.405173775
11,2105-2115,2.266744737,1.561935771,0.295959106,0.389361197,0.69518251,-0.955869522,-0.304975436,-0.727112965,-2.563907445,-0.180414101,0.035205096,-0.512108949
12,2115-2025,2.818635128,1.973400707,0.376984548,0.479708547,0.85108179,-1.152350783,-0.343841729,-0.844897572,-3.403617558,-0.188953166,0.062611069,-0.628760982
13,2125-2135,3.401994462,2.414245744,0.46386703,0.575082329,1.01417329,-1.37128771,-0.380660723,-0.957779354,-4.310092316,-0.19056085,0.094558251,-0.753540153
14,2135-2145,4.022013859,2.881137486,0.555997133,0.675362222,1.184230964,-1.614586346,-0.416684074,-1.064563898,-5.277544957,-0.186167922,0.12966885,-0.888863317
15,2145-2155,4.667655625,3.361765078,0.651201488,0.778825233,1.358401371,-1.88400435,-0.444504021,-1.158430013,-6.28616667,-0.178668998,0.168189917,-1.03426466
16,2155-2165,5.337421203,3.853745292,0.74921407,0.885433748,1.53682256,-2.184093891,-0.462650026,-1.241809575,-7.337880953,-0.164213222,0.209525244,-1.181514449
17,2165-2175,6.037391317,4.365422541,0.851757797,0.996337932,1.721629094,-2.518942944,-0.471208823,-1.317378105,-8.444180153,-0.141800227,0.2534699,-1.33249833
18,2175-2185,6.774890445,4.902268459,0.959889095,1.112832859,1.915143363,-2.891349218,-0.469842216,-1.387064431,-9.616386898,-0.111619429,0.300263497,-1.489025526
19,2185-2195,7.555732054,5.468799554,1.074463279,1.235931344,2.119166725,-3.303316432,-0.458252709,-1.45219698,-10.86394872,-0.073788997,0.350189423,-1.652778539
20,2195-2205,8.384464612,6.068650185,1.196157042,1.366415887,2.335080613,-3.756285928,-0.436175132,-1.513669779,-12.19450079,-0.028376899,0.403527658,-1.825287473
21,2205-2215,9.264489876,6.704604776,1.325481059,1.504866765,2.563904017,-4.251229465,-0.403368533,-1.572053643,-13.61390268,0.02458172,0.460526731,-2.007900619
22,2215-2225,10.19825868,7.378721897,1.462806611,1.651700225,2.806365762,-4.78873992,-0.359620745,-1.627697794,-15.12646249,0.085067223,0.521393118,-2.201792561
23,2225-2235,11.18749359,8.092491321,1.60839724,1.807208804,3.062977965,-5.369124855,-0.304754213,-1.680811461,-16.73524212,0.153063216,0.586290929,-2.407990412
24,2235-2245,12.23339796,8.846986195,1.762438975,1.971597751,3.334100869,-5.992496568,-0.238627651,-1.731522623,-18.44236785,0.228550495,0.655346698,-2.627404251
25,2245-2255,13.33683656,9.642996434,1.925066738,2.145015706,3.619996526,-6.658854775,-0.161132699,-1.779917199,-20.24931384,0.311506151,0.728656354,-2.860855954
26,2255-2265,14.49848437,10.48113974,2.096386286,2.327579497,3.920871599,-7.368159433,-0.072186647,-1.826063386,-22.15714655,0.401906189,0.806292793,-3.109104463
