Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.236718779,0.132572426,-0.105314817,0.016791137,0.084385675,0.063312438,0.030210724,-0.126814548,-0.074145279,-0.114383286,-0.046872834,-0.096460415
2,2015-2025,0.04297929,0.022457017,-0.015820096,0.003805217,0.015323055,0.005357046,0.003580868,-0.022488603,-0.012860938,-0.018502032,-0.00794198,-0.015888843
3,2025-2035,0.085234608,0.04317991,-0.022416795,0.009390692,0.030241112,-0.00677798,0.001753391,-0.043073463,-0.025483728,-0.030891506,-0.013506096,-0.027650145
4,2035-2045,0.15847531,0.081394367,-0.024571074,0.02075178,0.055542049,-0.043521978,-0.007009534,-0.076616108,-0.052348073,-0.046818976,-0.019959945,-0.045317816
5,2045-2055,0.272690474,0.146364232,-0.018160921,0.040046926,0.093885606,-0.110481704,-0.026335283,-0.125923948,-0.108704967,-0.06605889,-0.025715829,-0.071605695
6,2055-2065,0.437676016,0.24808204,-0.001400927,0.068931604,0.147717607,-0.204447597,-0.057547715,-0.192927365,-0.217583799,-0.089015322,-0.029367038,-0.110117505
7,2065-2075,0.661654765,0.395292514,0.026575775,0.108601961,0.218957286,-0.318490673,-0.099261319,-0.277501038,-0.407567193,-0.115145936,-0.029695039,-0.163421102
8,2075-2085,0.951970595,0.594980627,0.066394206,0.159866072,0.309084925,-0.446567609,-0.147668699,-0.377752621,-0.71002339,-0.14246442,-0.025540236,-0.232279451
9,2085-2095,1.313999017,0.851993104,0.118455143,0.222948314,0.418794532,-0.584862148,-0.197352087,-0.490240313,-1.154671704,-0.167782139,-0.015872041,-0.315409679
10,2095-2105,1.749261893,1.168628521,0.182886728,0.297360113,0.547659539,-0.732081746,-0.242187505,-0.610076547,-1.76408975,-0.187441074,-5.75741E-05,-0.409862599
11,2105-2115,2.250662757,1.53851235,0.258028346,0.380659657,0.691980751,-0.902580407,-0.285314569,-0.731617865,-2.504775724,-0.201619451,0.022150476,-0.51608632
12,2115-2025,2.802823553,1.950473343,0.341633264,0.471577856,0.848099912,-1.10392619,-0.326245057,-0.850005837,-3.343386731,-0.209070096,0.050124739,-0.632098757
13,2125-2135,3.386598131,2.3921619,0.431119245,0.56752637,1.011406325,-1.326987064,-0.364916352,-0.963312648,-4.250504826,-0.209504673,0.082737115,-0.756323522
14,2135-2145,4.007094884,2.860044348,0.525699035,0.668345638,1.181659925,-1.573712745,-0.402583907,-1.070386978,-5.21951839,-0.203977079,0.118531198,-0.891195927
15,2145-2155,4.653242584,3.341711682,0.623151414,0.77230273,1.356004818,-1.845996578,-0.431870788,-1.164438948,-6.230162035,-0.195422199,0.157720607,-1.036243287
16,2155-2165,5.323500596,3.834693993,0.72316001,0.879349066,1.534576551,-2.148458471,-0.451310022,-1.247934991,-7.284005563,-0.180025758,0.199676115,-1.183221525
17,2165-2175,6.023924923,4.347288816,0.827436716,0.990632551,1.719510279,-2.485256239,-0.460998943,-1.323578162,-8.392341307,-0.156798,0.244176097,-1.333996731
18,2175-2185,6.761833265,4.884955096,0.937059611,1.107453297,1.913131321,-2.859266036,-0.460618308,-1.393313813,-9.566412355,-0.125919235,0.29145851,-1.490361353
19,2185-2195,7.543041518,5.452213234,1.052917942,1.230831878,2.117244611,-3.272564853,-0.449891387,-1.458479343,-10.81565076,-0.087490771,0.341812508,-1.653984581
20,2195-2205,8.372103778,6.052707814,1.175722775,1.361558586,2.333234901,-3.726655137,-0.428571941,-1.519973551,-12.14770381,-0.041562964,0.395526147,-1.8263866
21,2205-2215,9.252428168,6.689235255,1.306015564,1.500220636,2.562124004,-4.222557516,-0.396435229,-1.578369665,-13.56845382,0.011844968,0.452856195,-2.00890856
22,2215-2225,10.18647147,7.36386568,1.444193562,1.647240098,2.804643039,-4.760902978,-0.353282531,-1.63401807,-15.08223367,0.072726817,0.514016603,-2.202720027
23,2225-2235,11.17596135,8.078099032,1.59054151,1.802914239,3.061305931,-5.342028262,-0.298947295,-1.687128575,-16.6921282,0.141077067,0.579177867,-2.408844664
24,2235-2245,12.22210522,8.833016976,1.745262408,1.967452076,3.332474328,-5.966067683,-0.233297197,-1.737829519,-18.40028326,0.216885093,0.648471787,-2.628190222
25,2245-2255,13.32577096,9.629416346,1.908504614,2.141005205,3.618411355,-6.633037362,-0.156231209,-1.786207153,-20.20818888,0.300134625,0.721998548,-2.861577051
26,2255-2265,14.48763592,10.46792036,2.080384472,2.323692768,3.919324489,-7.342909338,-0.067672663,-1.832330064,-22.116924,0.390806736,0.79983444,-3.109763121
27,2265-2275,15.71385706,11.35305753,2.261802259,2.516507253,4.236892577,-8.098535188,0.032444021,-1.876951126,-24.13567593,0.489064669,0.882346178,-3.374809296
28,2275-2285,16.99957649,12.28138338,2.452075458,2.718677371,4.56981691,-8.89726965,0.14426227,-1.919400561,-26.25696819,0.594777486,0.969281345,-3.656212301
29,2285-2295,18.3436729,13.25214719,2.651052686,2.930033274,4.917817942,-9.738281223,0.267806223,-1.959558539,-28.478927,0.707867596,1.060581406,-3.954212455
30,2295-2305,19.74725534,14.26618728,2.858902572,3.150760909,5.281214031,-10.62195145,0.40311355,-1.997563091,-30.80305317,0.828340649,1.156306257,-4.269512888
31,2305-2315,21.21189162,15.32465168,3.075860201,3.381117765,5.660441368,-11.5489951,0.550265099,-2.03357212,-33.2315386,0.956246381,1.256538064,-4.602906369
32,2315-2325,22.73922819,16.42872747,3.302172521,3.621372415,6.055952506,-12.52025528,0.709384703,-2.067719064,-35.76669546,1.091664584,1.36136091,-4.955193495
33,2325-2335,24.3309788,17.57963641,3.538096762,3.871803032,6.468214152,-13.53668743,0.880637461,-2.100113323,-38.41094893,1.234702118,1.470861128,-5.327180183
34,2335-2345,25.98897908,18.77867753,3.783908432,4.132706315,6.89772233,-14.59938092,1.064229963,-2.130846521,-41.16693034,1.385493525,1.585131457,-5.719690855
35,2345-2355,27.7152339,20.02726385,4.03990827,4.404405156,7.345015314,-15.70957941,1.260411567,-2.159996857,-44.0375575,1.544202319,1.704274716,-6.133581323
36,2355-2365,29.51194696,21.32694572,4.30642665,4.687253446,7.810681725,-16.86869304,1.46947586,-2.187631231,-47.02608585,1.711022011,1.828406327,-6.569748573
37,2365-2375,31.38153657,22.67942375,4.583825954,4.981638635,8.295364857,-18.07830393,1.691761844,-2.213806004,-50.13613637,1.886176686,1.957655881,-7.029137884
38,2375-2385,33.32664264,24.08655515,4.872501662,5.287982896,8.799764664,-19.34016725,1.927654771,-2.238567094,-53.37170859,2.069921195,2.092168029,-7.512748077
39,2385-2395,35.35012868,25.55035609,5.172882698,5.606743499,9.324638419,-20.65620995,2.177586641,-2.261949829,-56.73718469,2.262541079,2.232102948,-8.021635583
40,2395-2405,37.45508129,27.07300205,5.485431404,5.938412767,9.870800693,-22.02852826,2.442036456,-2.283978761,-60.23732877,2.464352336,2.37763655,-8.556917749
41,2405-2415,39.64480853,28.65682723,5.810643331,6.28351787,10.43912305,-23.4593849,2.721530323,-2.304667525,-63.87728388,2.675701108,2.52896052,-9.119775676
42,2415-2425,41.92283815,30.30432357,6.149047005,6.642620575,11.03053369,-24.95120638,3.016641478,-2.324018769,-67.66256817,2.896963364,2.686282274,-9.711456776
43,2425-2435,44.29291595,32.01813987,6.501203718,7.016317039,11.64601711,-26.50658085,3.327990311,-2.342024156,-71.59907133,3.12854461,2.849824876,-10.33327715
44,2435-2445,46.75900485,33.80108125,6.867707407,7.405237698,12.28661402,-28.12825635,3.656244431,-2.358664418,-75.6930516,3.370879675,3.01982695,-10.98662391
45,2445-2455,49.32528463,35.656109,7.249184636,7.810047258,12.9534213,-29.81913992,4.002118806,-2.373909449,-79.95113399,3.624432569,3.196542597,-11.67295743
46,2455-2465,51.99615251,37.58634098,7.6462947,8.231444826,13.64759228,-31.58229729,4.366376016,-2.387718425,-84.38030968,3.889696448,3.380241347,-12.3938137
47,2465-2475,54.77622458,39.59505258,8.059729848,8.670164171,14.37033721,-33.42095338,4.749826632,-2.400039922,-88.98793687,4.167193684,3.571208152,-13.15080669
48,2475-2485,57.67033811,41.68567827,8.490215647,9.126974113,15.12292392,-35.33849342,5.153329725,-2.410812036,-93.78174299,4.457476038,3.769743415,-13.94563079
49,2485-2495,60.68355469,43.86181375,8.938511462,9.60267906,15.90667872,-37.33846486,5.577793524,-2.419962495,-98.76982848,4.761124953,3.976163078,-14.78006341
50,2495-2505,63.82116427,46.12721865,9.405411067,10.09811967,16.72298752,-39.42457985,6.024176226,-2.427408741,-103.9606718,5.078751951,4.190798755,-15.65596768
51,2505-2515,67.08868998,48.48581981,9.891743378,10.61417363,17.57329715,-41.60071843,6.493486947,-2.433057994,-109.3631362,5.410999138,4.41399792,-16.57529532
52,2515-2525,70.49189374,50.94171514,10.3983733,11.15175657,18.45911688,-43.87093225,6.986786834,-2.436807292,-114.9864773,5.758539815,4.646124147,-17.54008961
53,2525-2535,74.03678261,53.49917803,10.92620269,11.71182313,19.38202015,-46.23944898,7.50519032,-2.438543489,-120.8403524,6.122079193,4.887557405,-18.55248861
54,2535-2545,77.72961595,56.16266218,11.47617144,12.29536806,20.34364646,-48.71067713,8.049866532,-2.438143234,-126.9348314,6.502355208,5.138694402,-19.61472847
55,2545-2555,81.57691326,58.93680709,12.04925864,12.90342749,21.34570346,-51.28921152,8.622040839,-2.435472909,-133.2804078,6.900139428,5.399948975,-20.72914698
56,2555-2565,85.58546265,61.82644396,12.64648389,13.53708032,22.38996925,-53.97983924,9.222996557,-2.430388535,-139.8880122,7.316238063,5.671752543,-21.89818729
57,2565-2575,89.76233009,64.83660203,13.26890866,14.19744969,23.47829478,-56.78754605,9.854076784,-2.422735653,-146.7690261,7.751493056,5.954554591,-23.12440184
58,2575-2585,94.11486925,67.97251555,13.9176378,14.88570455,24.61260647,-59.71752332,10.51668639,-2.412349158,-153.9352976,8.206783277,6.248823212,-24.41045644
59,2585-2595,98.65073204,71.239631,14.59382111,15.60306135,25.79490902,-62.77517545,11.21229416,-2.399053115,-161.399157,8.683025796,6.555045694,-25.75913462
60,2595-2605,103.3778797,74.64361499,15.29865501,16.35078582,27.02728833,-65.96612772,11.94243503,-2.382660532,-169.1734349,9.181177246,6.873729148,-27.17334217
