Medium variant estimate of the 2017 version of the UN Population Prospects through 2100 for the RICE model regions.  Values remain constant after 2100.,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.204339116,0.136526644,-0.010910161,0.038229464,0.094453079,-0.036675974,-0.06856632,-0.151895254,-0.050556588,-0.06613132,-0.011842308,-0.076970377
2,2015-2025,0.047436541,0.018985693,0.002154581,0.00807634,0.017314929,-0.034465882,-0.006552278,-0.021898372,-0.009735869,-0.007247976,-0.005534736,-0.008532972
3,2025-2035,0.093825425,0.046901086,0.006405246,0.016075725,0.033148996,-0.071545558,-0.015776501,-0.042584887,-0.026741638,-0.014430109,-0.007199206,-0.018078579
4,2035-2045,0.17223115,0.095928623,0.014768607,0.029792331,0.059108879,-0.125700025,-0.031672784,-0.075756096,-0.067012886,-0.026140416,-0.009309373,-0.03623801
5,2045-2055,0.292036522,0.17545955,0.029428716,0.050804054,0.097636752,-0.193524499,-0.056341714,-0.124548389,-0.150907321,-0.04309516,-0.010164221,-0.066784289
6,2055-2065,0.463166575,0.295403636,0.051871164,0.080874229,0.151339367,-0.270748883,-0.089727515,-0.189464684,-0.30748565,-0.064476938,-0.008313904,-0.112437398
7,2065-2075,0.694455183,0.464244979,0.084322547,0.121558086,0.222405458,-0.353176259,-0.128364969,-0.268370047,-0.572924481,-0.08760844,-0.002435551,-0.174106507
8,2075-2085,0.995090426,0.688103164,0.128193487,0.173777923,0.312516888,-0.439038169,-0.165741574,-0.357568208,-0.98564608,-0.108212346,0.00894721,-0.250422721
9,2085-2095,1.372090504,0.971275226,0.184038243,0.237789728,0.422517831,-0.529358441,-0.194534484,-0.452212912,-1.579197045,-0.121468449,0.026805593,-0.337745794
10,2095-2105,1.82718275,1.316043609,0.252340473,0.313491299,0.552220163,-0.629035369,-0.207956069,-0.545835658,-2.375031311,-0.123217139,0.051128589,-0.431331338
11,2105-2115,2.357060027,1.709430253,0.329501458,0.398265012,0.697014841,-0.800283706,-0.236805106,-0.636014828,-3.228208548,-0.125664164,0.081959331,-0.54625457
12,2115-2025,2.944365166,2.142920512,0.415056401,0.491224283,0.854009739,-1.040692744,-0.26677846,-0.719276877,-4.144574576,-0.120592569,0.118243458,-0.673904331
13,2125-2135,3.567078946,2.606633548,0.506888148,0.589661725,1.01871562,-1.321669082,-0.293773921,-0.795595898,-5.121622283,-0.106039901,0.159270957,-0.809547859
14,2135-2145,4.231604032,3.097104582,0.60496283,0.693810736,1.191426729,-1.649522027,-0.311176786,-0.861603974,-6.16798837,-0.079708032,0.20289545,-0.951805169
15,2145-2155,4.925255949,3.601758571,0.707036205,0.801912075,1.369371519,-2.023215151,-0.309398117,-0.911121088,-7.267365395,-0.044225408,0.249222348,-1.099231507
16,2155-2165,5.645300991,4.118459885,0.812633512,0.913766813,1.55256323,-2.441570116,-0.287647238,-0.94730888,-8.422787189,0.00350658,0.297634154,-1.24455174
17,2165-2175,6.39609564,4.655208113,0.923131511,1.030282051,1.742867648,-2.903053826,-0.246855529,-0.972988614,-9.643062387,0.062581499,0.348264176,-1.392470281
18,2175-2185,7.183496371,5.216795524,1.039263293,1.152533868,1.942338505,-3.406020861,-0.188271687,-0.990884138,-10.93636179,0.131471344,0.401630182,-1.545990614
19,2185-2195,8.012341358,5.807898112,1.161731977,1.281375263,2.152564584,-3.94902407,-0.113430371,-1.003157518,-12.30937138,0.209010141,0.458155428,-1.708093526
20,2195-2205,8.886584275,6.432193918,1.291092071,1.417478032,2.374766818,-4.530770862,-0.023776625,-1.011413577,-13.76719157,0.294270132,0.518189445,-1.881422062
21,2205-2215,9.809289758,7.092392377,1.42776718,1.561348041,2.609845581,-5.15018659,0.07943064,-1.01681162,-15.31345726,0.386559467,0.582001133,-2.068178704
22,2215-2225,10.78275045,7.790433667,1.572073164,1.713354481,2.858445109,-5.806448863,0.195149119,-1.020171994,-16.95060661,0.485384787,0.649780875,-2.270144185
23,2225-2235,11.80865829,8.52767556,1.724243866,1.873763771,3.121020712,-6.498997575,0.322556226,-1.02206243,-18.68018376,0.590411831,0.7216515,-2.488737987
24,2235-2245,12.88827722,9.305059698,1.884455596,2.042771011,3.397898256,-7.227532205,0.461036768,-1.022865029,-20.50312593,0.701431767,0.797682632,-2.725089784
25,2245-2255,14.02259671,10.12325305,2.052848596,2.220526676,3.689323167,-7.992002303,0.610162965,-1.022826865,-22.42001341,0.818334575,0.877905371,-2.980108525
26,2255-2265,15.21245996,10.98276393,2.22954491,2.407158197,3.995499199,-8.792594524,0.769671721,-1.022097533,-24.4312766,0.941088798,0.962325756,-3.25454381
27,2265-2275,16.46448119,11.88802862,2.415487004,2.603690687,4.318156203,-9.632714194,0.939381298,-1.021691627,-26.54426681,1.069975852,1.051216192,-3.551744421
28,2275-2285,17.77374684,12.83545036,2.609993428,2.809360778,4.655967379,-10.51046952,1.119715381,-1.020527903,-28.75292905,1.204960115,1.144256428,-3.869524237
29,2285-2295,19.13921808,13.82428797,2.812918578,3.024004045,5.008649081,-11.42513984,1.310426194,-1.018459549,-31.05556835,1.345958777,1.241385458,-4.20768045
30,2295-2305,20.56225302,14.85535631,3.024463951,3.247831878,5.376547007,-12.37779688,1.511629499,-1.015544135,-33.45360384,1.493123228,1.34262029,-4.56688032
31,2305-2315,22.04467616,15.92977921,3.244900941,3.481129974,5.760129566,-13.36993859,1.723593527,-1.011825486,-35.94919856,1.646679436,1.447998717,-4.947924905
32,2315-2325,23.58836615,17.04872905,3.474510939,3.724193777,6.159880196,-14.40315542,1.946664375,-1.00730295,-38.54474128,1.806882448,1.557568487,-5.35159577
33,2325-2335,25.19524342,18.21342482,3.713583111,3.977326376,6.576294283,-15.47909208,2.181241666,-1.001940026,-41.24282227,1.974006708,1.671388763,-5.778654774
34,2335-2345,26.86732882,19.42517404,3.962422574,4.240847514,7.009894488,-16.59946852,2.427769896,-0.995676533,-44.04629865,2.148345526,1.789533264,-6.229872409
35,2345-2355,28.60679421,20.68540762,4.22135755,4.515101394,7.46124391,-17.76610224,2.686734566,-0.988437354,-46.95835108,2.330212112,1.912092596,-6.706053286
36,2355-2365,30.41599446,21.99570133,4.490743884,4.800461586,7.930954308,-18.9809225,2.958659928,-0.980137745,-49.98251743,2.519940445,2.039175536,-7.2080538
37,2365-2375,32.29748469,23.35778688,4.770967495,5.09733367,8.419690508,-20.24597784,3.244107439,-0.970686297,-53.12270849,2.717885761,2.170909538,-7.736793346
38,2375-2385,34.25402852,24.77355666,5.062445543,5.406156473,8.928172447,-21.56343972,3.543674727,-0.959986495,-56.38321245,2.924424803,2.307440727,-8.293261235
39,2385-2395,36.28860114,26.24506481,5.365626858,5.727402524,9.457175893,-22.93560418,3.857994982,-0.94793746,-59.7686932,3.139955969,2.448933605,-8.878520937
40,2395-2405,38.40438975,27.77452648,5.680992012,6.061578104,10.0075325,-24.36489288,4.187736733,-0.934434231,-63.28418576,3.364899455,2.595570597,-9.493712763
41,2405-2415,40.60479295,29.36431626,6.009053222,6.40922313,10.58012961,-25.85385396,4.533603963,-0.919367789,-66.93509072,3.599697443,2.747551543,-10.14005565
42,2415-2425,42.8934198,31.01696653,6.350354236,6.770911015,11.17590996,-27.40516319,4.896336509,-0.902624935,-70.72716895,3.844814353,2.905093185,-10.81884851
43,2425-2435,45.27408916,32.73516594,6.705470249,7.147248555,11.79587149,-29.02162549,5.276710705,-0.884088074,-74.66653713,4.100737188,3.06842868,-11.53147127
44,2435-2445,47.75082952,34.52175844,7.075007903,7.538875921,12.44106732,-30.70617692,5.675540237,-0.863634965,-78.75966458,4.367975946,3.237807181,-12.279386
