Medium variant estimate of the 2017 version of the UN Population Prospects through 2100 for the RICE model regions.  Values remain constant after 2100.,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.008426786,0.001259379,1.85E-04,3.61E-03,5.31E-03,-0.002665509,0.000622298,-0.008424182,-0.001785222,-0.003306627,4.54E-04,-0.003684099
2,2015-2025,0.033492899,-0.002488459,4.49E-03,1.10E-02,1.45E-02,-0.033158372,0.006498414,-0.017417093,-0.005824575,-4.32E-03,-2.15E-03,-0.004629278
3,2025-2035,0.065559271,0.004351336,0.010560502,0.021192582,2.69E-02,-0.065367552,0.008007124,-0.032879673,-0.019401324,-0.008329251,-7.25E-04,-0.009869001
4,2035-2045,0.118892386,0.017519204,0.021499313,0.03809464,4.64E-02,-1.09E-01,0.009158396,-0.056333132,-0.053755895,-0.014253307,2.09E-03,-0.019993408
5,2045-2055,0.19914218,0.041994279,0.039333064,0.063127483,0.074335913,-0.159936567,0.009292697,-0.088961372,-0.127989886,-0.021708009,8.30E-03,-0.036926249
6,2055-2065,0.312331387,0.083188013,0.0653552,0.097836234,0.112027894,-0.211941903,0.010046111,-0.129195172,-0.269349976,-0.028662926,0.019565768,-0.06120063
7,2065-2075,0.463908451,0.145900579,0.101551688,0.143436235,0.160537606,-0.261108728,0.016200025,-0.173106011,-0.511791199,-0.031333677,0.037345398,-0.091540368
8,2075-2085,0.660280481,0.233558256,0.149157343,0.200471618,0.220574734,-0.306408341,0.035306395,-0.21565485,-0.89132258,-0.024530928,0.063187551,-0.124619679
9,2085-2095,0.906792714,0.349385156,0.208690628,0.268786405,2.92E-01,-0.350362979,0.075285745,-0.251380855,-1.439377644,-0.002834313,0.098107734,-0.155414968
10,2095-2105,1.205229583,0.496855178,0.280785695,0.347809171,0.375396603,-0.400139989,0.142978197,-0.274227372,-2.176253643,0.038130756,0.142131854,-0.178696032
11,2105-2115,1.556080163,0.669340898,0.362303834,0.434382197,0.466123199,-0.521651822,0.2066952,-0.284271352,-2.959454764,0.085906256,0.195100324,-0.210554133
12,2115-2025,1.947452593,0.867010571,0.453100697,0.529485671,0.564992757,-0.714997048,0.277617237,-0.282419042,-3.799099023,0.147219554,0.255326662,-0.245690629
13,2125-2135,2.362711552,1.088806706,0.551409864,0.631163424,0.670223696,-0.944341165,0.355370092,-0.274511146,-4.699024506,0.22164138,0.321314421,-0.284764317
14,2135-2145,2.819812422,1.332818574,0.657549733,0.740503133,0.783266,-1.21394994,0.443099002,-0.256896269,-5.674522803,0.30950341,0.390480026,-0.331663289
15,2145-2155,3.307482812,1.586048738,0.767987707,0.855026328,0.901729831,-1.52543835,0.553106396,-0.219407897,-6.702939534,0.402697045,0.463574298,-0.389867374
16,2155-2165,3.81922614,1.843210686,0.881433026,0.973719967,1.024708795,-1.879700423,0.685911888,-0.166531877,-7.785686815,0.507974007,0.539585696,-0.443851089
17,2165-2175,4.35557951,2.112769786,1.000010351,1.097275678,1.153025733,-2.275202141,0.841031475,-0.100522698,-8.931145464,0.626290003,0.618628792,-0.497741025
18,2175-2185,4.919681802,2.39613224,1.124555164,1.226858764,1.287948813,-2.709461901,1.018665331,-0.022942241,-10.14653814,0.756867784,0.701581427,-0.553349048
19,2185-2195,5.514252489,2.69533419,1.255850407,1.363391784,1.430454377,-3.180380645,1.218408362,0.06495332,-11.43781162,0.899126684,0.789147585,-0.612726935
20,2195-2205,6.141616484,3.012024277,1.394511954,1.507600009,1.581292541,-3.686164623,1.439683892,0.162255577,-12.80949807,1.052588904,0.881892603,-0.677803548
21,2205-2215,6.80363549,3.347413106,1.541008733,1.660028801,1.741015952,-4.225369055,1.681874342,0.268319562,-14.2648127,1.216894913,0.980244768,-0.750253906
22,2215-2225,7.501740447,3.702367196,1.695689067,1.821075639,1.910019759,-4.796906411,1.944396816,0.382693366,-15.80589302,1.391789402,1.084508635,-0.831480901
23,2225-2235,8.237016103,4.077487762,1.858809678,1.99102688,2.088583753,-5.400029754,2.226752455,0.505068881,-17.43407133,1.577105856,1.194887488,-0.922637769
24,2235-2245,9.01029728,4.473181784,2.030563042,2.170091711,2.276909757,-6.03430653,2.528554842,0.63524748,-19.15013513,1.772753985,1.311507805,-1.024666026
25,2245-2255,9.822259576,4.889725146,2.211101227,2.358430913,2.475152466,-6.699589709,2.849543538,0.773116294,-20.95455522,1.978710484,1.434442276,-1.138336993
