Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.053108996,-0.004273515,0.052725549,0.025764803,0.010724054,-0.078193828,-0.036340436,-0.023557368,-0.026274968,0.000489234,0.040917103,-0.015089623
4,2035-2045,0.086868263,0.004482848,0.104376514,0.051141934,0.020331085,-0.133090528,-0.066609086,-0.043844234,-0.065077836,0.00116162,0.070952506,-0.030693085
5,2045-2055,0.137368088,0.02246244,0.159235806,0.08409489,0.037436238,-0.201546543,-0.107579872,-0.070375449,-0.137495717,0.008024385,0.120291727,-0.051915994
6,2055-2065,0.191452828,0.049808495,0.244771695,0.129926845,0.065799887,-0.280359449,-0.160243431,-0.101748592,-0.264331078,0.022790829,0.181642479,-0.079510507
7,2065-2075,0.255559852,0.082624349,0.365911903,0.193858042,0.107874449,-0.370253344,-0.221287985,-0.136598794,-0.471474605,0.051386298,0.254972294,-0.112572457
8,2075-2085,0.35861414,0.122288174,0.496623387,0.262002182,0.165102995,-0.470388874,-0.285671726,-0.172300237,-0.786562509,0.101787005,0.356201256,-0.147695793
9,2085-2095,0.495849927,0.180409621,0.635068893,0.342642897,0.241960469,-0.580883354,-0.350231183,-0.205375511,-1.236732783,0.177987774,0.480179159,-0.180875908
10,2095-2105,0.617410359,0.256036333,0.838086938,0.469068558,0.346965868,-0.704707961,-0.410413012,-0.233243009,-1.851982529,0.282939925,0.600783412,-0.210944883
11,2105-2115,0.99692461,0.361604214,0.936555364,0.615754252,0.42445223,-0.999898118,-0.55214445,-0.226508261,-2.415675638,0.281294656,0.868820036,-0.291178894
12,2115-2025,1.15194697,0.466634643,1.222007086,0.796184933,0.582495865,-1.234861037,-0.64406956,-0.262603919,-3.191679702,0.414244398,1.043755517,-0.344055194
13,2125-2135,1.32761836,0.587756912,1.504656109,0.990849827,0.756913812,-1.491066036,-0.74519026,-0.294388016,-4.037289942,0.555904908,1.245411343,-0.401177016
14,2135-2145,1.619876905,0.716894787,1.794196075,1.201705588,0.951016171,-1.804701434,-0.858435684,-0.313755706,-4.980426945,0.709247899,1.433744055,-0.469361711
15,2145-2155,1.91563276,0.831296125,2.070174094,1.422657272,1.160806177,-2.173949762,-0.94081961,-0.289807952,-6.005016089,0.852988963,1.699607753,-0.543569731
16,2155-2165,2.212453828,0.94691303,2.352799812,1.650787573,1.383734389,-2.597141984,-1.011896387,-0.269573149,-7.116942296,1.056145637,1.968742542,-0.576022995
17,2165-2175,2.513334361,1.121760108,2.710295594,1.885349892,1.618346366,-3.074072194,-1.079368364,-0.249400137,-8.32291191,1.274212786,2.225014066,-0.622560568
18,2175-2185,2.84944519,1.297512365,3.074699879,2.143850822,1.878216946,-3.593653775,-1.138730909,-0.21826228,-9.634121466,1.510404631,2.503273405,-0.672634809
19,2185-2195,3.217485562,1.483400661,3.460060648,2.425066683,2.162055924,-4.158850977,-1.192912585,-0.178564087,-11.0592362,1.766873725,2.804516171,-0.729895524
20,2195-2205,3.616023836,1.682505094,3.871302151,2.728206513,2.468914131,-4.771098729,-1.242668966,-0.131039157,-12.59986002,2.044625799,3.128706081,-0.795616736
21,2205-2215,4.044168621,1.896008551,4.309808277,3.052628758,2.798066583,-5.431152747,-1.287684408,-0.075766211,-14.25467209,2.344010902,3.475222598,-0.870638833
22,2215-2225,4.49882681,2.122683703,4.774469527,3.39786397,3.150620343,-6.139266486,-1.325736889,-0.012578205,-16.02096589,2.666144429,3.841521145,-0.953582452
23,2225-2235,4.950438202,2.345431477,5.248312617,3.76155701,3.542190728,-6.893357839,-1.336288464,0.059819314,-17.88310581,3.021331746,4.204218081,-1.020547066
24,2235-2245,5.179034209,2.436384306,5.602881333,4.126432194,4.09023747,-7.674928854,-1.16792553,0.150608665,-19.73181069,3.485522041,4.390463823,-0.886898971
25,2245-2255,4.114369829,1.774745524,5.21253495,4.408126851,5.365377122,-8.390372305,-0.086261399,0.304306844,-21.03939544,4.427067284,3.561303141,0.348197597
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
