Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.075970469,-0.02974531,0.072241236,0.035703185,0.014642184,-0.101641194,-0.042018152,-0.023586729,-0.037155465,0.002824704,0.05254339,-0.019778318
4,2035-2045,0.107258997,-0.020613235,0.126349946,0.06236947,0.024510498,-0.15510369,-0.072348454,-0.044591045,-0.077070683,0.003482508,0.081464927,-0.035709239
5,2045-2055,0.156265348,-0.002163223,0.17924658,0.095443838,0.042200682,-0.222132967,-0.112878358,-0.071314326,-0.15019237,0.011145849,0.130993809,-0.056614862
6,2055-2065,0.206958288,0.025068898,0.26481378,0.141282317,0.071444014,-0.299537703,-0.164882397,-0.102400508,-0.277411821,0.026885229,0.191317714,-0.083537812
7,2065-2075,0.267686854,0.056705605,0.386802445,0.205429788,0.114404281,-0.388553091,-0.224970976,-0.136781492,-0.484594015,0.056722209,0.262824687,-0.115676294
8,2075-2085,0.369939313,0.094775585,0.515908316,0.272373644,0.172300624,-0.488144333,-0.288186803,-0.171931983,-0.799268315,0.108668802,0.363180558,-0.149615406
9,2085-2095,0.506992551,0.151937536,0.651458356,0.351711067,0.249775753,-0.598284589,-0.351651304,-0.204421958,-1.248639024,0.186349043,0.486244053,-0.181471484
10,2095-2105,0.625774072,0.226819771,0.854290487,0.478634036,0.355653474,-0.7219073,-0.410856659,-0.231818879,-1.863281319,0.292568705,0.604481689,-0.210358077
11,2105-2115,1.013599978,0.332625405,0.946563557,0.625555807,0.431593941,-1.021965416,-0.554663423,-0.223436263,-2.42119058,0.286327255,0.876456518,-0.291466778
12,2115-2025,1.164510334,0.437218681,1.233800523,0.806556292,0.590867136,-1.25569409,-0.645606449,-0.260243204,-3.198139204,0.420651037,1.049555663,-0.343476717
13,2125-2135,1.337326764,0.558083021,1.516866687,1.001483536,0.766060399,-1.510587438,-0.746119066,-0.292558528,-4.043866022,0.563012845,1.250200428,-0.399902625
14,2135-2145,1.629898848,0.686872977,1.806252046,1.212446198,0.960709065,-1.823639309,-0.859235356,-0.312194407,-4.986988759,0.71664005,1.436994332,-0.467755684
15,2145-2155,1.925392029,0.80041451,2.081363139,1.433320151,1.170831383,-2.192685441,-0.940946782,-0.287715582,-6.011198414,0.859938461,1.703084738,-0.541798193
16,2155-2165,2.221625447,0.915211987,2.363154945,1.661257558,1.393940597,-2.615870861,-1.011498399,-0.267381856,-7.122798185,1.063516843,1.972185822,-0.573343898
17,2165-2175,2.521780749,1.090222971,2.720951509,1.895542449,1.628608477,-3.092919465,-1.078684598,-0.247303844,-8.328573669,1.281811966,2.227990764,-0.61942731
18,2175-2185,2.85746956,1.265893101,3.085321592,2.153906941,1.888600102,-3.612544113,-1.137781066,-0.216202089,-9.639589336,1.518129206,2.505930765,-0.669134663
19,2185-2195,3.225230921,1.45164326,3.470567363,2.435040725,2.172562116,-4.177768446,-1.191733089,-0.176523544,-11.06453546,1.774677603,2.80693485,-0.726096301
20,2195-2205,3.62357522,1.650614068,3.881692327,2.738123807,2.479526669,-4.790045432,-1.241298953,-0.129014518,-12.60502196,2.052483941,3.130940804,-0.791575978
21,2205-2215,4.051584517,1.864003817,4.320101695,3.062504326,2.808766139,-5.450135046,-1.286159337,-0.073756796,-14.2597263,2.3519079,3.4773141,-0.86640501
22,2215-2225,4.506124837,2.090571758,4.78467412,3.407706604,3.161403358,-6.15828854,-1.324069387,-0.010582508,-16.02592547,2.674078938,3.84348076,-0.949174467
23,2225-2235,4.957384603,2.313076256,5.258293203,3.771354329,3.553185547,-6.91240219,-1.334320206,0.061813187,-17.88786093,3.029388827,4.205860847,-1.015773473
24,2235-2245,5.183775537,2.402710267,5.611556623,4.1360432,4.102436049,-7.693837772,-1.164385838,0.152679754,-19.73545356,3.494344299,4.390334006,-0.880202562
25,2245-2255,4.108035612,1.734609058,5.214720853,4.41685576,5.383510476,-8.408369098,-0.075067347,0.306825641,-21.03756292,4.439710067,3.55244676,0.364285142
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
