Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.062948392,0.018954039,0.005462528,0.022268257,0.016868087,-0.033545108,-0.028896251,-0.028043958,-0.019499992,-0.003419053,-0.003656269,-0.009440672
4,2035-2045,0.097208471,0.024079684,0.010814942,0.034028155,0.024606626,-0.044943706,-0.044140026,-0.038275451,-0.046939201,-0.002312947,-0.002904374,-0.011222174
5,2045-2055,0.145604469,0.034400993,0.018744573,0.050085209,0.03525691,-0.057487386,-0.063737765,-0.049975578,-0.100653023,0.001346173,-0.001107838,-0.012476736
6,2055-2065,0.211913472,0.05307049,0.029864228,0.071464709,0.049415785,-0.067990295,-0.087232993,-0.061718684,-0.198329851,0.009237579,0.002653644,-0.012348084
7,2065-2075,0.299436055,0.082638175,0.045084323,0.098780716,0.067447157,-0.074667127,-0.11169137,-0.070358248,-0.361695659,0.024203029,0.009079124,-0.008256176
8,2075-2085,0.412979069,0.125944758,0.06529551,0.132736282,0.089757537,-0.076565779,-0.133124832,-0.07264746,-0.615997897,0.04959553,0.019232441,0.002794841
9,2085-2095,0.557318083,0.186572094,0.091329105,0.173773467,0.116575859,-0.074523375,-0.147226975,-0.065152536,-0.986255259,0.089013386,0.034108509,0.024467642
10,2095-2105,0.736165065,0.269261872,0.124309929,0.221895785,0.147855842,-0.072303172,-0.149907065,-0.044197552,-1.493615926,0.145824539,0.054379768,0.060330914
11,2105-2115,0.950209842,0.372753519,0.16373075,0.274894207,0.181540499,-0.119669397,-0.15909696,-0.011061833,-2.051760203,0.215587913,0.080500657,0.102371006
12,2115-2025,1.202014832,0.505048955,0.211699145,0.331624499,0.216755423,-0.222325094,-0.167823803,0.033364457,-2.68027405,0.303546011,0.113785607,0.152584018
13,2125-2135,1.485738059,0.673215516,0.268882961,0.399333486,0.258980162,-0.376873027,-0.177181788,0.083814956,-3.389463943,0.410039961,0.155436797,0.208076861
14,2135-2145,1.792535969,0.874250615,0.335399215,0.485561442,0.31409897,-0.519987678,-0.193161435,0.128684657,-4.210639486,0.533128983,0.20211366,0.258015089
15,2145-2155,2.149137443,1.117628366,0.41346014,0.589280009,0.381409364,-0.627917975,-0.225264701,0.154569523,-5.165384364,0.671045934,0.254216643,0.287819617
16,2155-2165,2.633844175,1.392673373,0.500843983,0.709864976,0.460699777,-0.728108544,-0.299165747,0.236075501,-6.287033475,0.81045677,0.30532868,0.26452053
17,2165-2175,3.122869217,1.625149562,0.581545251,0.83112533,0.540344259,-0.886914471,-0.278339909,0.35762448,-7.378176888,0.898373172,0.37844121,0.207958786
18,2175-2185,3.62805153,1.852668333,0.663576858,0.956297214,0.622492195,-1.092303537,-0.260784819,0.481050299,-8.5824581,1.053502207,0.451439361,0.226468461
19,2185-2195,4.163257676,2.144833028,0.761155337,1.088871877,0.709553269,-1.330838138,-0.241064057,0.612830193,-9.900161439,1.229524207,0.528069666,0.233968381
20,2195-2205,4.739981512,2.46111295,0.866356695,1.231600862,0.803501761,-1.591472057,-0.213088573,0.759242989,-11.32630911,1.421211861,0.611478577,0.236382529
21,2205-2215,5.357699732,2.801283277,0.97912486,1.384357508,0.904279988,-1.874727304,-0.176295375,0.920323259,-12.8592433,1.628632978,0.701517369,0.233047012
22,2215-2225,6.016010141,3.165095693,1.099406194,1.547050491,1.011853012,-2.181006864,-0.130202698,1.096081108,-14.49738608,1.851824032,0.798037457,0.223237513
23,2225-2235,6.714677011,3.552303502,1.227169676,1.719636122,1.126213804,-2.510610743,-0.074430604,1.286516327,-16.23942379,2.090825587,0.900913111,0.206209995
24,2235-2245,7.453590124,3.962695636,1.362404512,1.90210439,1.247375011,-2.863821501,-0.008664909,1.491630727,-18.08427282,2.34569392,1.010035582,0.181229329
25,2245-2255,8.232758073,4.396113847,1.5051206,2.094475312,1.375367343,-3.240948595,0.067367984,1.711441102,-20.03110133,2.616511624,1.125312824,0.147581214
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
