Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.089586452,0.002397512,0.006837582,0.030864585,0.023144438,-0.039855271,-0.031716718,-0.029795375,-0.027780097,-0.002583673,-0.009138265,-0.01196117
4,2035-2045,0.119611276,0.002542226,0.011890963,0.041172402,0.029621097,-0.047773759,-0.044690336,-0.037314836,-0.054648875,-0.00052337,-0.008236516,-0.011650271
5,2045-2055,0.164828504,0.00945511,0.019395648,0.056119529,0.039419559,-0.059191149,-0.062399822,-0.046882209,-0.107284989,0.003999053,-0.006520084,-0.010939151
6,2055-2065,0.228805979,0.02579642,0.030112302,0.076658053,0.052983334,-0.070091104,-0.084398007,-0.057003633,-0.203516283,1.26E-02,-0.002935507,-0.009029193
7,2065-2075,0.314619211,0.053781504,0.044978279,0.103312203,0.070568693,-0.078053966,-0.107718172,-0.064454387,-0.365136672,0.02816778,0.003283453,-0.003347925
8,2075-2085,0.426902653,0.096087471,0.064914168,0.136751887,0.092528837,-0.081593385,-0.128366572,-0.065939922,-0.617563138,0.053991924,0.013244199,0.009041879
9,2085-2095,0.570312673,0.156182188,0.09076729,0.177385192,0.119060002,-0.081232934,-0.1419831,-0.057964342,-0.985988645,0.093711858,0.027968645,0.031781173
10,2095-2105,0.748515595,0.238730102,0.123657922,0.225169027,0.150091779,-0.080575835,-0.144403949,-0.036803264,-1.491725705,0.150742892,4.81E-02,0.068453519
11,2105-2115,0.962074996,0.342467214,0.163101527,0.27785859,0.183553933,-0.129219705,-0.153310285,-0.003717534,-2.049095669,0.220835063,0.074225913,0.111225957
12,2115-2025,1.213632891,0.475343113,0.211178281,0.334290232,0.218546866,-0.233116111,-0.161818661,0.040507786,-2.677316473,0.309171101,0.107533144,0.16204783
13,2125-2135,1.49729441,0.644376711,0.268541063,0.402022396,0.260781154,-0.389081719,-0.171115653,0.090576556,-3.386636434,0.41604368,0.149261082,0.217936754
14,2135-2145,1.803787906,0.846230238,0.335231425,0.488583731,0.31614055,-0.5317766,-0.187429646,0.134659936,-4.208533285,0.539340899,0.195961017,0.267803829
15,2145-2155,2.160618115,1.090563291,0.413504191,0.592744499,0.383770066,-0.637878806,-0.22030933,0.159321765,-5.164716881,0.677315832,0.248076826,0.296990431
16,2155-2165,2.64733863,1.366407348,0.501073675,0.713800563,0.463400454,-0.736121824,-0.29570178,0.240863178,-6.28881414,0.816453534,0.299088558,0.272211805
17,2165-2175,3.137181797,1.598341885,0.581674709,0.835252306,0.543183055,-0.894136533,-0.274439868,0.362867155,-7.379554019,0.903071656,0.37242285,0.214135007
18,2175-2185,3.642576423,1.82509175,0.663554378,0.960473858,0.625366834,-1.099320269,-0.256771611,0.48641105,-8.58373051,1.05809769,0.44547855,0.232771858
19,2185-2195,4.177782569,2.117256445,0.761132857,1.093048521,0.712427908,-1.33785487,-0.237050849,0.618190945,-9.901433849,1.23411969,0.522108854,0.240271778
20,2195-2205,4.754506405,2.433536367,0.866334216,1.235777506,0.8063764,-1.598488789,-0.209075365,0.76460374,-11.32758152,1.425807344,0.605517765,0.242685926
21,2205-2215,5.372224625,2.773706694,0.979102381,1.388534153,0.907154626,-1.881744036,-0.172282168,0.92568401,-12.86051571,1.633228461,0.695556558,0.239350409
22,2215-2225,6.030535034,3.13751911,1.099383714,1.551227136,1.01472765,-2.188023596,-0.12618949,1.101441859,-14.49865849,1.856419514,0.792076646,0.22954091
23,2225-2235,6.729201904,3.524726919,1.227147196,1.723812766,1.129088443,-2.517627475,-0.070417396,1.291877079,-16.2406962,2.095421069,0.8949523,0.212513392
24,2235-2245,7.468115017,3.935119053,1.362382033,1.906281034,1.25024965,-2.870838233,-0.004651701,1.496991479,-18.08554523,2.350289403,1.004074771,0.187532726
25,2245-2255,8.247282966,4.368537264,1.50509812,2.098651957,1.378241982,-3.247965327,0.071381192,1.716801853,-20.03237374,2.621107107,1.119352013,0.153884611
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
