Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.061864329,-0.00523723,0.065498269,0.032084503,0.013228697,-0.08798815,-0.046668841,-0.030306023,-0.032955754,-0.001709453,0.052798412,-0.020608761
4,2035-2045,0.103432989,0.005572764,0.133859921,0.065671769,0.025789613,-0.151847875,-0.088171508,-0.058086446,-0.083758568,-0.00318248,0.093997946,-0.043278124
5,2045-2055,0.16845119,0.029214746,0.210940633,0.111514621,0.049104903,-0.233185204,-0.147666136,-0.096465141,-0.181854136,0.00204115,0.164426016,-0.076522641
6,2055-2065,0.239281031,0.06683131,0.333076633,0.176892765,0.088659856,-0.327200069,-0.226704188,-0.143534184,-0.356925249,0.016715606,0.254842648,-0.121936159
7,2065-2075,0.322995367,0.113225248,0.50693418,0.268615016,0.147995489,-0.433898354,-0.319995246,-0.19676819,-0.644581103,0.049555009,0.364045942,-0.17812336
8,2075-2085,0.45799066,0.169271379,0.694555065,0.366275321,0.228630107,-0.551014138,-0.418750051,-0.251509722,-1.080045866,0.112201553,0.511764376,-0.239368685
9,2085-2095,0.6363715,0.249655521,0.888860556,0.478890811,0.335515066,-0.677637881,-0.516286357,-0.301770401,-1.693500453,0.210265638,0.688066833,-0.298430832
10,2095-2105,0.785512227,0.351282892,1.164828998,0.65056665,0.478594018,-0.816969626,-0.604113183,-0.342924798,-2.514190721,0.346771328,0.852525618,-0.351883403
11,2105-2115,1.286278823,0.489564475,1.281224999,0.842646822,0.57725098,-1.182604753,-0.801106364,-0.333042253,-3.227910988,0.329068026,1.212223376,-0.473593142
12,2115-2025,1.456082034,0.617978267,1.636767692,1.067349714,0.777785637,-1.446645759,-0.915761347,-0.378060511,-4.18169792,0.493842144,1.421422925,-0.549062876
13,2125-2135,1.639291552,0.758080259,1.964050716,1.295430806,0.987812248,-1.729976311,-1.027671998,-0.41147381,-5.166309013,0.664262828,1.646594422,-0.620091699
14,2135-2145,1.96245797,0.89684206,2.272441205,1.526102811,1.208261226,-2.080079592,-1.138798399,-0.422465974,-6.202568185,0.841962148,1.829903977,-0.694059247
15,2145-2155,2.267812784,1.003491111,2.535555199,1.7507201,1.432279881,-2.490535801,-1.191635311,-0.372115024,-7.263948677,0.997402455,2.094768389,-0.763795107
16,2155-2165,2.558832841,1.10408653,2.789958746,1.970473808,1.659364335,-2.956347001,-1.221248864,-0.32814048,-8.375654476,1.223117377,2.346608584,-0.7710514
17,2165-2175,2.843609187,1.27482608,3.127859492,2.18747707,1.889517097,-3.47638178,-1.241059856,-0.28498364,-9.554175058,1.458388023,2.56922689,-0.794303507
18,2175-2185,3.158758012,1.435351404,3.45544115,2.421796489,2.138017935,-4.035864589,-1.2411294,-0.227674764,-10.79979095,1.706029546,2.805409461,-0.816344293
19,2185-2195,3.498616241,1.598283125,3.790913288,2.671051779,2.402313536,-4.637719509,-1.22616143,-0.160149915,-12.12153353,1.968863852,3.055603221,-0.840080661
20,2195-2205,3.862190797,1.769297355,4.142605989,2.935297653,2.681908629,-5.282667011,-1.199575747,-0.084360191,-13.5257173,2.24802547,3.321360695,-0.868366343
21,2205-2215,4.249708371,1.950870002,4.514551962,3.215250816,2.977133092,-5.970609803,-1.163739547,-0.001314837,-15.01653434,2.544102727,3.604043004,-0.903461448
22,2215-2225,4.658396659,2.142264276,4.906988683,3.511420819,3.290243646,-6.700969651,-1.11810359,0.088574675,-16.59508879,2.85858748,3.902087942,-0.944402144
23,2225-2235,5.054953924,2.324418414,5.301414872,3.821792176,3.639780954,-7.470633371,-1.040644787,0.186406827,-18.24642843,3.203406398,4.189622582,-0.964089555
24,2235-2245,5.193089242,2.354328495,5.554346158,4.12741432,4.157883361,-8.258264376,-0.762671603,0.302240309,-19.85003886,3.663794351,4.273402673,-0.755524072
25,2245-2255,3.895977433,1.549516732,4.97800458,4.335741161,5.472361821,-8.960410897,0.522694239,0.484895721,-20.82692348,4.6448864,3.231110873,0.672145412
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
