Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.101133233,0.007918852,0.006849667,0.036263845,0.0273407,-0.037801068,-0.040087961,-0.037835477,-0.032630432,-0.005847193,-0.00930902,-0.015995145
4,2035-2045,0.141037358,0.012340685,0.013044802,0.050770759,0.036723979,-0.042274155,-0.060110376,-0.050914958,-0.067927205,-0.006032211,-0.007803405,-0.018855273
5,2045-2055,0.202907912,0.027221873,0.023020715,0.072478228,0.051049439,-0.046483007,-0.089109236,-0.068718956,-0.139740883,-0.004574561,-0.004617999,-0.023433524
6,2055-2065,0.291719748,0.057078461,0.038013879,0.102548336,0.070792526,-0.045213412,-0.126454973,-0.088945885,-0.273496933,1.04E-03,0.001867189,-0.02894964
7,2065-2075,0.411355505,0.105993591,0.059580004,0.141346408,0.09603337,-0.036502733,-0.16768063,-0.106870745,-0.499471205,0.015325132,0.01285755,-0.031966247
8,2075-2085,0.567440474,0.178412179,0.089017643,0.188983439,0.126750889,-0.020650587,-0.206496518,-0.117807225,-0.850955664,0.04367962,0.029900992,-0.028275244
9,2085-2095,0.765286638,0.280008634,0.127406963,0.244872296,0.162526671,-0.001517272,-0.236240948,-0.117403755,-1.358174738,0.091721214,0.054326668,-0.012812371
10,2095-2105,1.008306524,0.418570978,0.176382913,0.30772435,0.20248538,0.012209303,-0.251000459,-0.101796171,-2.043113517,0.164370483,8.70E-02,0.018887365
11,2105-2115,1.298745445,0.595650803,0.235443963,0.373465647,0.242853586,-0.049184128,-0.277865749,-0.074957259,-2.779154756,0.253591095,0.128841658,0.052569696
12,2115-2025,1.619978311,0.810844185,0.304814348,0.46264636,0.299416078,-0.178530978,-0.311278374,-0.046940705,-3.584667155,0.362044248,0.177347858,0.084325824
13,2125-2135,1.949719916,1.065490797,0.383910568,0.565565895,0.36557134,-0.251485262,-0.363474635,-0.039975142,-4.484239454,0.483046322,0.229855049,0.096014606
14,2135-2145,2.420824629,1.353640614,0.472248231,0.68471375,0.443626915,-0.323150307,-0.454454593,-0.017000644,-5.524454005,0.6066783,0.279990691,0.057336418
15,2145-2155,2.907095305,1.601777683,0.55389378,0.804312174,0.522547987,-0.450946994,-0.473227309,0.083636754,-6.542147851,0.683785217,0.346460974,-0.037187721
16,2155-2165,3.381733478,1.81496002,0.629783639,0.919777963,0.599108324,-0.650753684,-0.465118449,0.183149477,-7.597019746,0.809660743,0.412505812,-0.037787577
17,2165-2175,3.86485759,2.084276722,0.718777544,1.036469363,0.67707915,-0.901132008,-0.445562521,0.289674596,-8.72002458,0.962892274,0.477302147,-0.044610278
18,2175-2185,4.373532072,2.367386766,0.81251704,1.158904619,0.759576651,-1.18427428,-0.409091569,0.409444439,-9.912036016,1.129827723,0.545419583,-0.051207028
19,2185-2195,4.909950489,2.666323899,0.911492782,1.287938468,0.847079744,-1.496647609,-0.357450066,0.541603135,-11.178779,1.31023139,0.617421341,-0.059164575
20,2195-2205,5.476033457,2.98273492,1.016095948,1.424244046,0.939956148,-1.835355978,-0.292244348,0.685550009,-12.52461514,1.503890675,0.693764551,-0.070054288
21,2205-2215,6.073344083,3.317829076,1.126629512,1.568328208,1.038476088,-2.198140523,-0.214852452,0.840867373,-13.95263369,1.710641907,0.77479758,-0.085287156
22,2215-2225,6.703099414,3.672471912,1.243322923,1.720560851,1.142832405,-2.583330556,-0.126402016,1.007266123,-15.46488193,1.930370082,0.860767735,-0.10607694
23,2225-2235,7.366233475,4.047263955,1.366349135,1.881208893,1.253162331,-2.989768215,-0.027775754,1.184552875,-17.0626286,2.163007549,0.951837958,-0.133443602
24,2235-2245,8.063474576,4.442611701,1.495841426,2.050467787,1.369566946,-3.416730548,0.080368646,1.372610077,-18.74661624,2.408533886,1.048106222,-0.168234475
25,2245-2255,8.795420402,4.858790679,1.631908564,2.228488266,1.492127251,-3.863858108,0.197572321,1.571384163,-20.51728281,2.666976894,1.149624361,-0.211151985
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
