Medium variant estimate of the 2017 version of the UN Population Prospects through 2100 for the RICE model regions.  Values remain constant after 2100.,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.008426786,0.001259379,1.85E-04,3.61E-03,5.31E-03,-0.002665509,0.000622298,-0.008424182,-0.001785222,-0.003306627,4.54E-04,-0.003684099
2,2015-2025,0.033533569,-0.002424874,4.50E-03,1.10E-02,1.46E-02,-0.033317453,0.006548574,-0.017445344,-0.005812482,-4.33E-03,-2.15E-03,-0.00464033
3,2025-2035,0.065454423,0.004624147,0.010601192,0.021051395,2.68E-02,-0.066008628,0.008187008,-0.032755431,-0.019219706,-0.008213094,-7.33E-04,-0.009805172
4,2035-2045,0.118204866,0.018202447,0.021538567,0.037530273,4.60E-02,-1.11E-01,0.009706014,-0.055767976,-0.052822605,-0.013781388,2.04E-03,-0.019653231
5,2045-2055,0.197006439,0.043300313,0.039251961,0.061634738,0.07317254,-0.164398752,0.010644884,-0.087546692,-0.124730507,-0.020513354,8.09E-03,-0.035911389
6,2055-2065,0.3073272,0.085220067,0.064935784,0.094637923,0.109536612,-0.221356714,0.01282257,-0.126528184,-0.260358913,-0.026317526,0.018993473,-0.058912292
7,2065-2075,0.453985363,0.148564624,0.10042788,0.137463057,0.155926632,-0.278842641,0.021045533,-0.16900699,-0.490841881,-0.027509457,0.036054493,-0.087266613
8,2075-2085,0.642639312,0.236561578,0.146838482,0.190390728,0.212868825,-0.336762039,0.042633674,-0.21037983,-0.848536712,-0.019210405,0.060663415,-0.117707025
9,2085-2095,0.87787731,0.352204656,0.204617159,0.253062975,2.80E-01,-0.398270378,0.085073709,-0.245776235,-1.360937372,0.003524944,0.093692818,-0.14547837
10,2095-2105,1.160972774,0.498654266,0.274320479,0.324777417,0.358088463,-0.470636196,0.154680427,-0.269845109,-2.044923596,0.044559941,0.135091964,-0.16574083
11,2105-2115,1.49056663,0.667995001,0.352613604,0.405018009,0.444090488,-0.615671166,0.221449225,-0.282645119,-2.767159671,0.092369512,0.18430667,-0.192933182
12,2115-2025,1.855743434,0.858472229,0.438908836,0.49194309,0.536557448,-0.825015121,0.295393674,-0.283743624,-3.540222636,0.153191286,0.239653444,-0.220882059
