Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.013285654,0.008876645,-0.000709353,0.002485591,0.006141119,-0.002384587,-0.004458023,-0.009875876,-0.003287072,-0.004299705,-0.000769959,-0.005004435
2,2015-2025,0.04448773,0.020243032,0.001065714,0.007771265,0.017171823,-0.026812543,-0.00812024,-0.023277875,-0.009581776,-0.008447188,-0.004608157,-0.009891785
3,2025-2035,0.090563013,0.043189744,0.004618057,0.015722627,0.033126417,-0.062920756,-0.015864058,-0.043535595,-0.023474793,-0.015149696,-0.007886908,-0.018388051
4,2035-2045,0.167635063,0.086089203,0.011636822,0.029199132,0.059256452,-0.118902287,-0.030324931,-0.076822982,-0.05527602,-0.02648311,-0.011656755,-0.034350588
5,2045-2055,0.284757864,0.156469983,0.024005043,0.04978473,0.097958845,-0.195080151,-0.053327934,-0.125818746,-0.119748694,-0.043128817,-0.015108931,-0.060763192
6,2055-2065,0.451051549,0.262796363,0.043416114,0.079051476,0.151598091,-0.289525894,-0.085797708,-0.192119781,-0.237959955,-0.065011943,-0.017133612,-0.100364699
7,2065-2075,0.674174325,0.412825042,0.071614468,0.11825399,0.221986652,-0.398916745,-0.126585187,-0.275284123,-0.436077034,-0.090756492,-0.016511245,-0.15472365
8,2075-2085,0.960755041,0.612856661,0.110032675,0.168163376,0.310374013,-0.520362085,-0.17227111,-0.373228179,-0.742729108,-0.117739684,-0.011978219,-0.22387338
9,2085-2095,1.31504451,0.867076932,0.159508192,0.228819918,0.417090911,-0.652034117,-0.217795859,-0.482418651,-1.18428033,-0.142470837,-0.002454521,-0.306086147
10,2095-2105,1.736991056,1.176934156,0.220303604,0.299435886,0.541239544,-0.793730994,-0.257342743,-0.597945023,-1.779126467,-0.161253474,0.012661971,-0.398167517
11,2105-2115,2.217490254,1.534291546,0.29056288,0.378640762,0.679588044,-0.960289899,-0.294510801,-0.714241388,-2.490139162,-0.174440568,0.033416967,-0.500368635
12,2115-2025,2.74121025,1.927397596,0.36808816,0.464329414,0.827902889,-1.153007424,-0.329410236,-0.827214954,-3.286300197,-0.181078121,0.058967777,-0.610885154
13,2125-2135,3.294414205,2.346331631,0.450954814,0.554344716,0.982393685,-1.371323431,-0.361044776,-0.933933433,-4.144077066,-0.180142334,0.088676364,-0.726594374
14,2135-2145,3.892385729,2.78854016,0.53820583,0.65051826,1.146051931,-1.611708511,-0.390400172,-1.033498279,-5.0619085,-0.180224377,0.122124319,-0.860086389
15,2145-2155,4.506333515,3.240522176,0.627966351,0.748416632,1.311467856,-1.879158664,-0.411316843,-1.12116718,-6.014240131,-0.17243642,0.158154753,-0.994542046
16,2155-2165,5.148403224,3.710684014,0.721908993,0.850200512,1.48255706,-2.179630526,-0.423696606,-1.200764613,-7.017018229,-0.157172399,0.196813233,-1.132284663
17,2165-2175,5.825360965,4.204023482,0.821014164,0.957085574,1.661528113,-2.516043937,-0.427005509,-1.274236487,-8.080604248,-0.134553026,0.238225725,-1.274794818
18,2175-2185,6.542978713,4.725015679,0.926134509,1.070088822,1.850211051,-2.890594311,-0.420807053,-1.343015359,-9.214373385,-0.104672531,0.282620269,-1.423586404
19,2185-2195,7.305992338,5.277434316,1.037976485,1.190031369,2.050070594,-3.30493019,-0.404730792,-1.408108313,-10.42629318,-0.067588643,0.330255598,-1.580109586
20,2195-2205,8.11803721,5.864246081,1.157087032,1.317536881,2.262212364,-3.760206122,-0.378449279,-1.470173797,-11.72266619,-0.023327767,0.381376719,-1.745673133
21,2205-2215,8.981777543,6.48768198,1.283870549,1.453059731,2.487438936,-4.257161643,-0.341677489,-1.529620576,-13.10823312,0.028099885,0.436195353,-1.921431147
22,2215-2225,9.89909912,7.149369844,1.418616125,1.596921168,2.726317369,-4.796208588,-0.29417696,-1.586694112,-14.58641749,0.08668705,0.494884136,-2.10839766
23,2225-2235,10.8713079,7.850477288,1.561526207,1.749344587,2.979243064,-5.377519282,-0.235757282,-1.641541816,-16.15960958,0.152421634,0.557578135,-2.307470854
24,2235-2245,11.89931061,8.591844076,1.71274297,1.910486542,3.246494778,-6.001110807,-0.166272893,-1.694258246,-17.82944275,0.225284336,0.624379968,-2.519458579
25,2245-2255,12.98376871,9.374096277,1.872371011,2.080462591,3.528279746,-6.666921761,-0.085615662,-1.744914184,-19.59704166,0.305250346,0.695366426,-2.745101844
26,2255-2265,14.1252246,10.19774067,2.040496058,2.259368097,3.82476953,-7.374879196,0.006295326,-1.793573875,-21.46323488,0.392293543,0.770595412,-2.985095284
27,2265-2275,15.32960265,11.06711899,2.217979687,2.448154358,4.137582664,-8.127817192,0.109557014,-1.840977131,-23.43678689,0.486569833,0.85040722,-3.241391204
28,2275-2285,16.59217026,11.97886653,2.404145374,2.64607109,4.465453923,-8.923091734,0.22428666,-1.886480243,-25.51041693,0.587943548,0.934551424,-3.513499893
29,2285-2295,17.91181534,12.93222727,2.598836833,2.852949415,4.808105973,-9.759877573,0.350505312,-1.929970877,-27.68225159,0.696336504,1.022964252,-3.801640865
30,2295-2305,19.28963547,13.92801998,2.802217276,3.068972083,5.165854339,-10.63858315,0.488259398,-1.971591874,-29.95375134,0.811754778,1.115698741,-4.106485703
31,2305-2315,20.72719494,14.96738067,3.014518168,3.294394557,5.539134719,-11.55995713,0.637640523,-2.011506683,-32.32708239,0.934248321,1.212831235,-4.428796924
32,2315-2325,22.22614655,16.05149333,3.235984569,3.529484991,5.92840188,-12.52487894,0.798783091,-2.049855119,-34.80455036,1.063896762,1.314441321,-4.769348068
33,2325-2335,23.78821628,17.18158251,3.466872936,3.774522108,6.334126385,-13.53434057,0.97186231,-2.086753498,-37.38858607,1.200806276,1.420611877,-5.128920542
34,2335-2345,25.41525405,18.35895294,3.70745852,4.029803477,6.756808727,-14.58946695,1.157094428,-2.122300745,-40.0818315,1.345110003,1.531432859,-5.508315811
35,2345-2355,27.10927822,19.58502403,3.958041886,4.295652704,7.196991562,-15.69153531,1.354738003,-2.156582755,-42.88721472,1.496969136,1.64700469,-5.908367439
36,2355-2365,28.87250341,20.86135174,4.218953007,4.57242393,7.655267342,-16.84198675,1.565095289,-2.189674608,-45.80799744,1.656573776,1.76744056,-6.329950256
37,2365-2375,30.70735522,22.1896407,4.490553444,4.860504222,8.132282391,-18.04243133,1.788513338,-2.221641451,-48.84780074,1.824143373,1.892867842,-6.773987012
38,2375-2385,32.61647662,23.57174994,4.773237316,5.160314639,8.628738755,-19.29464899,2.025384755,-2.252538719,-52.01061671,1.999926833,2.023428872,-7.241453309
39,2385-2395,34.6027298,25.00969505,5.067431597,5.472310563,9.145394816,-20.60058818,2.276148133,-2.28241209,-55.30081199,2.184202388,2.159281345,-7.733381426
40,2395-2405,36.6691956,26.50564844,5.373596049,5.796981664,9.683065274,-21.96236348,2.541288271,-2.311297395,-58.72312679,2.377277341,2.300598471,-8.25086345
41,2405-2415,38.81917205,28.06193878,5.692223038,6.134851706,10.24262088,-23.38225293,2.821336256,-2.339220548,-62.28267197,2.579487754,2.447568985,-8.795053997
42,2415-2425,41.05617279,29.6810501,6.0238373,6.486478336,10.82498815,-24.86269565,3.116869502,-2.366197532,-65.98492555,2.791198145,2.600397088,-9.367172671
43,2425-2435,43.38392578,31.36562111,6.368995779,6.85245292,11.43114909,-26.40628979,3.428511782,-2.392234446,-69.8357294,3.012801224,2.759302357,-9.968506395
44,2435-2445,45.80637261,33.11844476,6.728287533,7.233400479,12.06214118,-28.01579117,3.756933329,-2.41732759,-73.84128681,3.244717701,2.924519652,-10.60041167
45,2445-2455,48.32766861,34.94246838,7.102333759,7.629979726,12.71905744,-29.69411261,4.102851011,-2.441463583,-78.0081611,3.487396185,3.096299044,-11.26431686
46,2455-2465,50.95204394,36.84144553,7.49191668,8.042861976,13.4030117,-31.44446411,4.466952798,-2.464662881,-82.34347706,3.741285248,3.274874855,-11.96178867
47,2465-2475,53.68452583,38.81749013,7.897496321,8.472842058,14.11532204,-33.26989403,4.850206327,-2.486818777,-86.85439829,4.006953757,3.460599362,-12.69432472
48,2475-2485,56.52955555,40.87446844,8.319879999,8.920624658,14.8571568,-35.1737864,5.253382513,-2.507918232,-91.54839182,4.284892567,3.653723446,-13.46358752
49,2485-2495,59.49218271,43.01597239,8.759823413,9.387009822,15.62984244,-37.15970425,5.677391786,-2.527911402,-96.43350986,4.575664802,3.854559287,-14.27132113
50,2495-2505,62.57767607,45.24575171,9.218115277,9.872832297,16.43476276,-39.2313694,6.123193115,-2.546739061,-101.5181662,4.879861861,4.063434104,-15.1193525
51,2505-2515,65.79153097,47.56771903,9.695578418,10.37896273,17.27336093,-41.3926674,6.591795278,-2.564332812,-106.811147,5.198104128,4.280690479,-16.00959473
52,2515-2525,69.13947701,49.98595518,10.19307094,10.90630889,18.14714154,-43.64765285,7.084258231,-2.580615228,-112.3216217,5.531041747,4.506686713,-16.94405051
53,2525-2535,72.62748579,52.50471454,10.71148737,11.45581695,19.0576727,-46.00055461,7.60169454,-2.595499926,-118.0591545,5.879355443,4.74179719,-17.92481553
54,2535-2545,76.26177881,55.12843053,11.25175987,12.02847269,20.00658814,-48.45578138,8.145270908,-2.60889159,-124.0337162,6.243757388,4.986412771,-18.95408193
55,2545-2555,80.04883601,57.8617215,11.81485949,12.62530293,20.99558949,-51.01792757,8.716209827,-2.620685958,-130.255697,6.624992154,5.240941218,-20.03414204
56,2555-2565,83.99540471,60.70939696,12.40179751,13.24737693,22.02644868,-53.69177965,9.315791343,-2.63076977,-136.73592,7.023837735,5.505807664,-21.16739209
57,2565-2575,88.10850918,63.6764643,13.01362693,13.89580791,23.10101045,-56.48232282,9.945354957,-2.639020683,-143.4856557,7.44110665,5.781455126,-22.35633625
58,2575-2585,92.3954608,66.7681358,13.65144392,14.5717547,24.22119509,-59.39474818,10.60630166,-2.645307151,-150.516638,7.877647125,6.068345058,-23.60359081
59,2585-2595,96.86386883,69.98983621,14.31638951,15.27642343,25.38900125,-62.43446035,11.30009608,-2.649488284,-157.8410805,8.334344357,6.366957945,-24.91188849
60,2595-2605,101.5216517,73.34721069,15.00965123,16.01106935,26.60650895,-65.60708546,12.02826882,-2.651413666,-165.4716944,8.812121865,6.677793949,-26.28408308
