Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.048322529,-0.010114133,0.006553873,0.022269489,0.015343943,0.005319249,-0.029003745,-0.028038394,-0.020818855,-0.002551754,-0.000664143,-0.006618059
4,2035-2045,0.078205801,-0.017794692,0.012489154,0.033707258,0.021945415,0.010671782,-0.044348307,-0.035796475,-0.054790414,-0.00060955,0.001535432,-0.005215403
5,2045-2055,0.1238527,-0.021958248,0.02201729,0.050652077,0.032069924,0.020515579,-0.065892291,-0.045650267,-0.123144917,0.004505097,0.005731831,-0.002698774
6,2055-2065,0.189447707,-0.018571375,0.036383893,0.073732404,0.045741257,0.03904148,-0.092355302,-0.05466078,-0.250421058,0.01564602,0.013554019,0.002461734
7,2065-2075,0.27823425,-0.003408281,0.057137666,0.102783937,0.062646918,0.066485253,-0.118844903,-0.057985806,-0.46525735,0.03766544,0.026202998,0.014339879
8,2075-2085,0.394791585,0.028058829,0.085728036,0.137271964,0.082242721,0.101511147,-0.138754774,-0.05108536,-0.798971837,0.076292161,0.045339543,0.037575987
9,2085-2095,0.543156336,0.081782831,0.123561898,0.175697491,0.103409137,0.1393819,-0.145076369,-0.030004601,-1.279588044,0.137594326,0.072546892,0.077538204
10,2095-2105,0.725276792,0.166099784,0.172779277,0.21549259,0.124316692,0.170598264,-0.131389562,0.008468549,-1.927011808,0.2272533,0.109122289,0.138993832
11,2105-2115,0.936078454,0.277448816,0.23155416,0.268497017,0.153038905,0.116977588,-0.125059514,0.058501156,-2.615478853,0.336459929,0.154258955,0.207723385
12,2115-2025,1.150865009,0.409250006,0.29783894,0.331306617,0.187937464,0.074761011,-0.127063807,0.103518851,-3.367499482,0.462882991,0.202091394,0.274111006
13,2125-2135,1.368902041,0.566648136,0.371080581,0.397703233,0.225037607,0.002456344,-0.125523246,0.150645607,-4.173636278,0.61171306,0.254450096,0.350522819
14,2135-2145,1.822840098,0.651916917,0.441050794,0.504711235,0.289927231,0.096852849,-0.157234259,0.26463011,-5.155604172,0.664541759,0.324031115,0.252336323
15,2145-2155,2.159487896,0.794431444,0.516821292,0.58377887,0.336564831,-0.02520506,-0.130017579,0.37550805,-6.085649582,0.804603329,0.385925334,0.283751174
16,2155-2165,2.516886946,0.945712109,0.596630748,0.666580092,0.386293064,-0.183236128,-0.084314445,0.501856075,-7.074264037,0.958924768,0.450541917,0.318388891
17,2165-2175,2.895713833,1.106477532,0.680969005,0.753771162,0.439418753,-0.372560401,-0.020461788,0.643008469,-8.128308798,1.127608642,0.518487056,0.355876536
18,2175-2185,3.296986521,1.27765178,0.770262011,0.845930564,0.496195494,-0.589103129,0.060557237,0.798452884,-9.253151842,1.310578074,0.590385984,0.395254422
19,2185-2195,3.721842008,1.460015443,0.864880631,0.943546087,0.556830154,-0.82938005,0.15763456,0.9678491,-10.45310977,1.507764167,0.666764021,0.435363645
20,2195-2205,4.171309015,1.654198653,0.96512446,1.046997336,0.621476908,-1.090596567,0.269700032,1.150962531,-11.73135418,1.719106325,0.74803149,0.475044
21,2205-2215,4.646238865,1.860678949,1.071224715,1.156566595,0.690245305,-1.370616395,0.39580283,1.347626424,-13.09003336,1.944554337,0.834488195,0.513223544
22,2215-2225,5.14730811,2.079793972,1.183355642,1.272458789,0.763211898,-1.66788435,0.535147937,1.557722616,-14.53047997,2.184073429,0.926338364,0.548953567
23,2225-2235,5.675051686,2.311765136,1.301648719,1.394822574,0.840431593,-1.981338897,0.687106925,1.78117351,-16.05343772,2.437651165,1.023709882,0.581415425
24,2235-2245,6.229906443,2.55672636,1.426206773,1.523769462,0.92194745,-2.310328876,0.851214282,2.017940469,-17.65927442,2.705304941,1.126674086,0.609913034
25,2245-2255,6.812255135,2.814753339,1.557116669,1.659389989,1.007798672,-2.654539818,1.027156137,2.26802557,-19.34816753,2.987089181,1.235264055,0.633858603
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
