Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.067081895,-0.037055834,0.00826036,0.029233935,0.019895218,0.010040064,-0.029330459,-0.027369573,-0.028024119,-0.000465363,-0.005192034,-0.00707409
4,2035-2045,0.0943693,-0.04715658,0.013678495,0.039259357,0.025418773,0.015252839,-0.042506601,-0.03233764,-0.061626396,0.002355724,-0.003159632,-0.003547638
5,2045-2055,0.138118111,-0.052748444,0.022665944,0.055249459,0.034934443,0.023473877,-0.062402017,-0.040311431,-0.128852242,0.008269073,0.000739903,0.000863324
6,2055-2065,0.202337427,-0.050227985,0.036608592,0.077633886,0.048195565,0.039644244,-0.087627857,-0.048031378,-0.254592027,0.020088665,0.008268001,0.007702866
7,2065-2075,0.29012031,-0.035539021,0.057051906,0.106123643,0.064766892,0.064473312,-0.113228318,-0.050512796,-0.467648267,0.042667873,0.020673333,0.021051133
8,2075-2085,0.405926698,-0.004190398,0.085460874,0.14014117,0.084056705,0.09701212,-0.132571767,-0.043141907,-0.799573837,0.081737676,0.039643812,0.045498855
9,2085-2095,0.55372908,0.049757069,0.123253828,0.178142206,0.104917666,0.132690894,-0.138577236,-0.021895308,-1.278616823,0.143410489,0.066782105,0.086406031
10,2095-2105,0.735474028,0.134647304,0.172569254,0.217503701,0.125496288,0.162046742,-0.124737459,0.01648399,-1.924898883,0.233440519,0.103404326,0.14857019
11,2105-2115,0.945822504,0.246778172,0.231544366,0.270593052,0.154265645,0.106588389,-0.118251779,0.066145564,-2.613169617,0.343143816,0.148625777,0.21791411
12,2115-2025,1.159684178,0.379168538,0.297991074,0.3336294,0.189317751,0.065414203,-0.120511623,0.110290214,-3.365739574,0.469873218,0.196429909,0.284452711
13,2125-2135,1.376831601,0.537134426,0.371378304,0.400182176,0.22652364,-0.006008038,-0.119195391,0.156621913,-4.172362475,0.619048871,0.248764607,0.361080367
14,2135-2145,1.834491958,0.621072638,0.441280684,0.508025741,0.291979083,0.093110053,-0.151997915,0.27112863,-5.157030404,0.669865136,0.318608979,0.259465418
15,2145-2155,2.171139757,0.763587165,0.517051182,0.587093376,0.338616683,-0.028947856,-0.124781235,0.38200657,-6.087075814,0.809926705,0.380503198,0.290880269
16,2155-2165,2.528538807,0.914867831,0.596860638,0.669894598,0.388344915,-0.186978925,-0.079078101,0.508354594,-7.075690269,0.964248145,0.445119781,0.325517986
17,2165-2175,2.907365693,1.075633254,0.681198895,0.757085668,0.441470605,-0.376303197,-0.015225444,0.649506988,-8.12973503,1.132932018,0.51306492,0.36300563
18,2175-2185,3.308638382,1.246807501,0.770491901,0.84924507,0.498247346,-0.592845926,0.065793581,0.804951403,-9.254578074,1.315901451,0.584963848,0.402383517
19,2185-2195,3.733493868,1.429171164,0.865110521,0.946860593,0.558882006,-0.833122846,0.162870904,0.974347619,-10.454536,1.513087544,0.661341885,0.442492739
20,2195-2205,4.182960876,1.623354375,0.96535435,1.050311842,0.62352876,-1.094339364,0.274936376,1.157461051,-11.73278042,1.724429702,0.742609354,0.482173095
21,2205-2215,4.657890725,1.82983467,1.071454605,1.159881101,0.692297156,-1.374359191,0.401039174,1.354124944,-13.0914596,1.949877714,0.82906606,0.520352638
22,2215-2225,5.15895997,2.048949693,1.183585532,1.275773295,0.765263749,-1.671627147,0.54038428,1.564221135,-14.5319062,2.189396806,0.920916228,0.556082662
23,2225-2235,5.686703546,2.280920857,1.301878608,1.39813708,0.842483445,-1.985081694,0.692343268,1.787672029,-16.05486395,2.442974542,1.018287746,0.58854452
24,2235-2245,6.241558303,2.525882081,1.426436663,1.527083968,0.923999302,-2.314071672,0.856450626,2.024438988,-17.66070065,2.710628318,1.12125195,0.617042128
25,2245-2255,6.823906996,2.78390906,1.557346559,1.662704495,1.009850524,-2.658282614,1.032392481,2.274524089,-19.34959376,2.992412558,1.229841919,0.640987698
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
