Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.074534815,0.024461043,0.005468815,0.027697092,0.021084529,-0.03141023,-0.037310921,-0.036118883,-0.024382523,-0.006704406,-0.003826993,-0.013492339
4,2035-2045,0.118621882,0.033699368,0.01194715,0.043668455,0.031727956,-0.039118764,-0.059602236,-0.051877907,-0.060300192,-0.007859388,-0.002472684,-0.018433641
5,2045-2055,0.18394837,0.05248786,0.022424671,0.066507369,0.046936301,-0.045030835,-0.090571744,-0.071973187,-0.13320098,-0.007256838,0.00081164,-0.025082626
6,2055-2065,0.275608396,0.086013854,0.038039706,0.097332486,0.06724558,-0.045097999,-0.129481719,-0.094205517,-0.268116892,-0.002265655,0.007543945,-0.032616183
7,2065-2075,0.397676015,0.139166814,0.060406484,0.136445353,0.092733886,-0.038636787,-0.171850672,-0.114154806,-0.494678961,0.01169767,0.018900963,-0.037705959
8,2075-2085,0.555857929,0.217171703,0.090900391,0.183753495,0.123277262,-0.027299623,-0.211377974,-0.127581687,-0.844933793,0.040093367,0.036430351,-0.036291422
9,2085-2095,0.755509258,0.326712466,0.130749964,0.238356801,0.158281911,-0.016303172,-0.241522019,-0.130851161,-1.347329918,0.088539171,0.061501822,-0.023645122
10,2095-2105,1.000047897,0.47690288,0.181838932,0.298581801,0.196636057,-0.015788376,-0.256595244,-0.121080445,-2.021677708,0.161934898,0.095045637,0.004153671
11,2105-2115,1.284672746,0.66227501,0.242089,0.373314668,0.244170644,-0.100430667,-0.284181389,-0.102766968,-2.738752806,0.250644346,0.136435684,0.032529731
12,2115-2025,1.584449981,0.873641049,0.309809812,0.458868416,0.298868674,-0.189439375,-0.320999073,-0.088110709,-3.518299636,0.354494972,0.180836621,0.055879268
13,2125-2135,1.893936283,1.111801867,0.384213701,0.549033681,0.356627273,-0.310514915,-0.355445952,-0.070597441,-4.352780279,0.478212598,0.22975291,0.085760274
14,2135-2145,2.434570281,1.329235695,0.457658103,0.682955162,0.446223574,-0.324099644,-0.42949167,-0.01010605,-5.352729056,0.517644413,0.291699065,-0.043559873
15,2145-2155,2.857972089,1.567805838,0.535783808,0.787300895,0.515026722,-0.505855958,-0.440885839,0.061809511,-6.310730213,0.636873377,0.349008035,-0.054108264
16,2155-2165,3.304554497,1.817831939,0.618014421,0.89608807,0.587541198,-0.72525715,-0.434874764,0.148104103,-7.328083251,0.769778841,0.40891097,-0.062608874
17,2165-2175,3.776138469,2.081299693,0.704870857,1.010306394,0.664366214,-0.978410751,-0.412304693,0.247598056,-8.4120182,0.916188565,0.471953577,-0.069988181
18,2175-2185,4.274698869,2.360192664,0.796805039,1.130813169,0.745999851,-1.261900486,-0.374584661,0.359349266,-9.568211387,1.075795889,0.538710514,-0.077668728
19,2185-2195,4.802141642,2.656142835,0.894208708,1.258320239,0.832845442,-1.572771232,-0.323164965,0.482672168,-10.8012272,1.248347264,0.60966646,-0.087181363
20,2195-2205,5.360076836,2.970423993,0.997397242,1.39337659,0.92520569,-1.908628424,-0.259374482,0.617071094,-12.11442457,1.4336425,0.685201011,-0.099967478
21,2205-2215,5.949778254,3.303981455,1.106613326,1.536387611,1.023298088,-2.267626499,-0.184352064,0.76218955,-13.51008792,1.631529932,0.765591643,-0.117303375
22,2215-2225,6.572221612,3.657484102,1.222039329,1.687645395,1.127275624,-2.648416139,-0.099025874,0.917775013,-14.98964631,1.841902947,0.851026771,-0.140282468
23,2225-2235,7.228151337,4.0313853,1.343812415,1.847359638,1.23724673,-3.050079966,-0.004117576,1.083655802,-16.55391096,2.064698803,0.941623209,-0.169824733
24,2235-2245,7.918152942,4.425983571,1.472039449,2.01568517,1.353292448,-3.47206912,0.099841153,1.259726515,-18.2032976,2.299899197,1.037444436,-0.206698165
25,2245-2255,8.642720487,4.841477848,1.606810317,2.192744957,1.475480419,-3.914145726,0.212486906,1.445939238,-19.93801953,2.547531825,1.138517648,-0.25154439
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
