Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.101202333,0.007950549,0.006847944,0.036299026,0.027367718,-0.037770566,-0.040143879,-0.037887917,-0.032662932,-0.005870855,-0.009309104,-0.016022316
4,2035-2045,0.141301558,0.012596766,0.013075449,0.0508593,0.036795608,-0.042407036,-0.060272427,-0.051086166,-0.068032461,-0.006082621,-0.007793059,-0.018954911
5,2045-2055,0.203646482,0.02829605,0.023186546,0.072610228,0.051171394,-0.047480154,-0.089444167,-0.069179803,-0.139913963,-0.004616904,-0.004560686,-0.023715023
6,2055-2065,0.293155293,0.05980089,0.038465297,0.102606485,0.070890492,-0.048139769,-0.126947001,-0.089925319,-0.273496127,1.11E-03,0.002035081,-0.029554255
7,2065-2075,0.413700263,0.111713346,0.060558315,0.141064331,0.095929241,-0.043102878,-0.168273823,-0.108839353,-0.498503546,0.015675817,0.013239022,-0.033160736
8,2075-2085,0.570834553,0.189122001,0.090874273,0.187854363,0.126111742,-0.033516633,-0.207115218,-0.121640595,-0.847176532,0.044540664,0.030644343,-0.03053296
9,2085-2095,0.769818939,0.298632915,0.130663494,0.242036258,0.160810955,-0.024313754,-0.236875737,-0.124641714,-1.348169823,0.093353226,0.055651898,-0.016966657
10,2095-2105,1.014048341,0.449331199,0.181815759,0.301890282,0.198890566,-0.025509473,-0.251797989,-0.114922584,-2.021501632,0.167070324,8.92E-02,0.011468805
11,2105-2115,1.298426797,0.635530859,0.242223787,0.376708606,0.246485186,-0.111914276,-0.279296596,-0.096958135,-2.738374436,0.256173593,0.13065766,0.040336956
12,2115-2025,1.597576861,0.847570577,0.310078274,0.462476508,0.301337985,-0.200296103,-0.316371849,-0.083075905,-3.518362389,0.360260028,0.175022763,0.063783248
13,2125-2135,1.90642355,1.08633859,0.384604306,0.552795142,0.359207424,-0.320785178,-0.351043318,-0.06626728,-4.353249274,0.484249609,0.223910578,0.093815852
14,2135-2145,2.45079211,1.303451369,0.458012059,0.687601251,0.449443048,-0.330987192,-0.426289243,-0.005659965,-5.355627921,0.521870384,0.28603539,-0.03864129
15,2145-2155,2.874193918,1.542021512,0.536137763,0.791946983,0.518246195,-0.512743506,-0.437683412,0.066255596,-6.313629078,0.641099348,0.343344361,-0.049189681
16,2155-2165,3.320776326,1.792047613,0.618368377,0.900734159,0.590760671,-0.732144698,-0.431672336,0.152550189,-7.330982116,0.774004811,0.403247295,-0.05769029
17,2165-2175,3.792360298,2.055515367,0.705224813,1.014952482,0.667585687,-0.985298299,-0.409102266,0.252044141,-8.414917065,0.920414535,0.466289903,-0.065069598
18,2175-2185,4.290920698,2.334408338,0.797158995,1.135459258,0.749219324,-1.268788034,-0.371382233,0.363795351,-9.571110252,1.08002186,0.53304684,-0.072750144
19,2185-2195,4.818363472,2.630358509,0.894562664,1.262966327,0.836064915,-1.57965878,-0.319962538,0.487118253,-10.80412606,1.252573235,0.604002785,-0.08226278
20,2195-2205,5.376298665,2.944639667,0.997751198,1.398022679,0.928425164,-1.915515972,-0.256172054,0.62151718,-12.11732344,1.437868471,0.679537336,-0.095048895
21,2205-2215,5.966000083,3.278197129,1.106967282,1.541033699,1.026517561,-2.274514047,-0.181149636,0.766635635,-13.51298679,1.635755903,0.759927968,-0.112384792
22,2215-2225,6.588443441,3.631699776,1.222393285,1.692291483,1.130495097,-2.655303687,-0.095823447,0.922221099,-14.99254518,1.846128918,0.845363097,-0.135363884
23,2225-2235,7.244373167,4.005600974,1.344166371,1.852005726,1.240466203,-3.056967515,-0.000915149,1.088101888,-16.55680982,2.068924774,0.935959535,-0.16490615
24,2235-2245,7.934374772,4.400199245,1.472393405,2.020331258,1.356511921,-3.478956668,0.103043581,1.2641726,-18.20619646,2.304125168,1.031780761,-0.201779582
25,2245-2255,8.658942316,4.815693522,1.607164272,2.197391046,1.478699893,-3.921033274,0.215689334,1.450385324,-19.94091839,2.551757796,1.132853973,-0.246625807
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
