Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.042373668,-0.00819855,0.006304181,0.018008921,0.012361415,-0.004698286,-0.022369743,-0.021685179,-0.016709792,-0.000164908,-0.001180186,-0.004041541
4,2035-2045,0.066919426,-0.014662831,0.011099233,0.02659567,0.017297552,-0.007445832,-0.032659605,-0.026080139,-0.042837817,0.003052475,1.31917E-05,-0.001291323
5,2045-2055,0.102876649,-0.018838232,0.018169698,0.038900949,0.024773115,-0.010641158,-0.046083762,-0.030959989,-0.093450452,0.009560507,0.00217743,0.003515245
6,2055-2065,0.15326723,-0.018672362,0.02822057,0.055588924,0.034979669,-0.010546151,-0.061778814,-0.034290442,-0.18597048,0.021156937,0.006339868,0.011705051
7,2065-2075,0.220791311,-0.012248933,0.042087499,0.076976908,0.048024523,-0.005359721,-0.076536162,-0.032581012,-0.341477969,0.040802793,0.013206738,0.026314025
8,2075-2085,0.309396774,0.002547398,0.060655022,0.103510681,0.064057098,0.006359568,-0.086141348,-0.022279712,-0.584665752,0.071964697,0.02388128,0.050714292
9,2085-2095,0.422947776,0.028567912,0.084775508,0.135334852,0.083034221,0.024197926,-0.085983906,0.000364454,-0.940052762,0.118421544,0.039418198,0.088974278
10,2095-2105,0.564317092,0.069844622,0.115586524,0.172047542,0.104595623,0.044778312,-0.071589222,0.039300368,-1.428431707,0.183826137,0.060590362,0.145134349
11,2105-2115,0.7334923,0.125379866,0.152772715,0.211123383,0.126485883,0.018626695,-0.05987981,0.093112848,-1.965745519,0.264637845,0.087867024,0.21212677
12,2115-2025,0.931942134,0.202039691,0.198478888,0.250756779,0.147237824,-0.06022149,-0.043416325,0.161636998,-2.570512412,0.366555162,0.122786781,0.29271597
13,2125-2135,1.153179178,0.306959426,0.253513751,0.299627295,0.173352481,-0.189984201,-0.023494705,0.23931312,-3.253316241,0.49017859,0.16667652,0.383994786
14,2135-2145,1.385549614,0.435899982,0.317779811,0.366000429,0.211272235,-0.295214364,-0.007915057,0.312443005,-4.047630838,0.632791382,0.215672528,0.473351273
15,2145-2155,1.656664151,0.595650492,0.393744194,0.447367567,0.259023986,-0.346537078,-0.006239547,0.367355286,-4.976925537,0.793324493,0.270494733,0.546077261
16,2155-2165,2.058548418,0.774997231,0.478960915,0.543285628,0.316555592,-0.376693038,-0.04907476,0.490692933,-6.081058655,0.956295058,0.323743959,0.56374672
17,2165-2175,2.460009928,0.90244039,0.555410318,0.638809373,0.373698769,-0.471167453,0.016466859,0.65785967,-7.135001357,1.056907168,0.401742145,0.54282419
18,2175-2185,2.871633977,1.018002582,0.632158553,0.736718439,0.432151382,-0.61450954,0.077696928,0.825792797,-8.303143499,1.233892781,0.478675753,0.610929848
19,2185-2195,3.306263913,1.199186884,0.725559533,0.840097057,0.493904003,-0.789514799,0.142423536,1.003410991,-9.583708086,1.433900211,0.558927514,0.669549244
20,2195-2205,3.774949254,1.396252185,0.82627344,0.951463787,0.560666274,-0.981905796,0.218744089,1.199063073,-10.96996148,1.651352902,0.646226576,0.726875696
21,2205-2215,4.277276754,1.60909511,0.934248775,1.070723917,0.632408205,-1.192274059,0.307172328,1.412733456,-12.46028652,1.886292415,0.740420252,0.782189368
22,2215-2225,4.812924976,1.837556454,1.049435254,1.197809566,0.709115181,-1.421073587,0.408153884,1.64439544,-14.05313508,2.138735966,0.841357048,0.834724898
23,2225-2235,5.381697963,2.081433407,1.171803507,1.332688589,0.790790181,-1.668629505,0.522050897,1.894030689,-15.7472082,2.408714634,0.948909802,0.883718035
24,2235-2245,5.983497259,2.340527879,1.30134323,1.475354391,0.87744881,-1.935231804,0.649172286,2.161635654,-17.54142661,2.696281891,1.062969342,0.928427672
25,2245-2255,6.618319433,2.614668356,1.43806382,1.625823498,0.969118753,-2.221182346,0.789797031,2.447232607,-19.43495402,3.001523198,1.183444055,0.968145619
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
