Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.061114676,-0.035176863,0.008002281,0.024970418,0.016908002,6.36227E-05,-0.022685187,-0.020995951,-0.023918954,0.001919487,-0.005711804,-0.004489729
4,2035-2045,0.082943921,-0.044320641,0.012206568,0.03214401,0.020757137,-0.002528591,-0.030740415,-0.022476283,-0.049676323,0.005989248,-0.004727037,0.000428407
5,2045-2055,0.116929812,-0.050111558,0.018670028,0.043517005,0.027645818,-0.007161087,-0.042482091,-0.025400528,-0.099114605,0.013260181,-0.002905148,0.007152173
6,2055-2065,0.165878098,-0.051002752,0.028227374,0.059538661,0.037475312,-0.009313776,-0.056904419,-0.027358272,-0.189997428,0.025492922,0.000909997,0.017054283
7,2065-2075,0.232330901,-0.045281129,0.0417014,0.080402418,0.050228998,-0.006682245,-0.070734583,-0.024705016,-0.343547843,0.04564024,0.007467672,0.033179187
8,2075-2085,0.320105811,-0.030887057,0.059986506,0.106519986,0.066011354,0.002584494,-0.079739993,-0.01381184,-0.584668894,0.077160178,0.017893475,0.058845981
9,2085-2095,0.432988503,-0.005010272,0.083938577,0.138003194,0.084756989,0.018261176,-0.079243307,0.00914675,-0.938069667,0.123862461,0.033254545,0.098111051
10,2095-2105,0.573841738,0.03634937,0.114680361,0.17440105,0.106088112,0.037033998,-0.0646868,0.048170491,-1.424710497,0.189455971,0.054333579,0.155042626
11,2105-2115,0.742519942,0.092218183,0.15191969,0.213150197,0.127738968,0.009559294,-0.052697537,0.101861272,-1.961273658,0.270626849,0.081580183,0.222796617
12,2115-2025,0.94061418,0.169434152,0.197765409,0.252428221,0.148218203,-0.070493877,-0.035962782,0.170169425,-2.565785646,0.37299007,0.116547317,0.304075327
13,2125-2135,1.161585677,0.275098048,0.253009235,0.301285448,0.174302542,-0.201621852,-0.01589437,0.247488561,-3.248751712,0.497086232,0.160546969,0.395865222
14,2135-2145,1.393364322,0.404684431,0.317470735,0.367989848,0.212448923,-0.306079134,-0.000608036,0.319813427,-4.04387154,0.639981797,0.209585444,0.485219785
15,2145-2155,1.664410502,0.565135948,0.393667331,0.44977756,0.2604884,-0.354976946,0.00031184,0.373464735,-4.974742314,0.80065034,0.264439012,0.557373592
16,2155-2165,2.068268595,0.744976294,0.479083257,0.546135302,0.318320803,-0.382597846,-0.044090879,0.49702635,-6.081594294,0.963385054,0.317586812,0.573500552
17,2165-2175,2.470527225,0.871611157,0.55540879,0.641836609,0.375585455,-0.476048491,0.022030698,0.66479645,-7.135007405,1.062519434,0.395849632,0.550890445
18,2175-2185,2.882357808,0.986231733,0.631978193,0.739791682,0.434069542,-0.619125317,0.083411035,0.832885909,-8.303012329,1.239394741,0.472851807,0.619165196
19,2185-2195,3.316987744,1.167416035,0.725379173,0.8431703,0.495822163,-0.794130576,0.148137643,1.010504102,-9.583576916,1.439402171,0.553103567,0.677784592
20,2195-2205,3.785673085,1.364481336,0.826093081,0.954537029,0.562584434,-0.986521573,0.224458196,1.206156185,-10.96983031,1.656854862,0.64040263,0.735111044
21,2205-2215,4.288000585,1.577324262,0.934068416,1.07379716,0.634326365,-1.196889836,0.312886435,1.419826568,-12.46015535,1.891794376,0.734596305,0.790424716
22,2215-2225,4.823648807,1.805785606,1.049254894,1.200882809,0.711033341,-1.425689364,0.413867991,1.651488551,-14.05300391,2.144237926,0.835533102,0.842960246
23,2225-2235,5.392421794,2.049662559,1.171623148,1.335761831,0.792708341,-1.673245282,0.527765004,1.901123801,-15.74707703,2.414216594,0.943085856,0.891953383
24,2235-2245,5.99422109,2.308757031,1.301162871,1.478427634,0.87936697,-1.939847581,0.654886393,2.168728765,-17.54129544,2.701783852,1.057145396,0.93666302
25,2245-2255,6.629043265,2.582897507,1.43788346,1.628896741,0.971036914,-2.225798123,0.795511138,2.454325719,-19.43482285,3.007025158,1.177620108,0.976380967
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
