Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.04828919,-0.010098324,0.006554363,0.022241684,0.015324771,0.005238196,-0.028959297,-0.027997365,-0.02079104,-0.002533621,-0.000668213,-0.006600344
4,2035-2045,0.078073654,-0.017888956,0.012447781,0.033651759,0.021906795,0.010642909,-0.044230615,-0.035665807,-0.05470288,-0.000585738,0.001505375,-0.005154276
5,2045-2055,0.123502941,-0.022588688,0.021808946,0.050632847,0.032056978,0.021095432,-0.065696295,-0.045309906,-0.123020865,0.004453061,0.00560827,-0.00254272
6,2055-2065,0.18882895,-0.020417741,0.035826339,0.073937104,0.045894223,0.04115823,-0.092166992,-0.053932896,-0.250499272,0.015352138,0.013232389,0.002787527
7,2065-2075,0.277408915,-0.007607841,0.05593581,0.103599144,0.06325546,0.07168322,-0.118838732,-0.056478118,-0.466301292,0.036842323,0.025512614,0.014988498
8,2075-2085,0.394023445,0.019790251,0.083444266,0.139399853,0.083816013,0.112107763,-0.139194759,-0.048032193,-0.802737022,0.074517117,0.044025295,0.038839971
9,2085-2095,0.542962158,0.066897465,0.119536402,0.180323209,0.106771465,0.158651608,-0.146277691,-0.024028104,-1.289288834,0.134278825,0.070218377,0.079955119
10,2095-2105,0.72649131,0.140861784,0.166009703,0.224428673,0.130717525,0.203015459,-0.133692314,0.019612484,-1.947629855,0.221557967,0.105173275,0.143453988
11,2105-2115,0.945531745,0.243436451,0.222832586,0.266893367,0.151280426,0.175718867,-0.127112939,0.078856132,-2.653948736,0.329824622,0.150188916,0.216498562
12,2115-2025,1.183266883,0.375901794,0.290242169,0.332725499,0.187577844,0.084205449,-0.123237707,0.141202408,-3.428379144,0.460957428,0.20233923,0.293198147
13,2125-2135,1.414822983,0.53955164,0.36784491,0.410559843,0.231740021,0.0726472,-0.137106516,0.181126382,-4.299803623,0.607471095,0.258736682,0.352409383
14,2135-2145,1.795089114,0.726198653,0.455089999,0.502900454,0.286004749,0.078498696,-0.193282398,0.242605758,-5.321845554,0.75775545,0.312268621,0.358716459
15,2145-2155,2.190823781,0.865824389,0.533883264,0.595626642,0.341156353,0.025138048,-0.168409005,0.391863697,-6.3087822,0.85040367,0.38451953,0.297951829
16,2155-2165,2.574717047,0.968202813,0.605346788,0.684477551,0.394373824,-0.10917119,-0.117662141,0.534704768,-7.331549745,0.996454287,0.455668556,0.344437443
17,2165-2175,2.964924097,1.135007195,0.691502504,0.774066684,0.448668693,-0.296754513,-0.056908588,0.683062206,-8.423677758,1.172133942,0.524857017,0.383118521
18,2175-2185,3.376843722,1.311370808,0.782286584,0.868280257,0.50651234,-0.514508134,0.022461591,0.846392186,-9.583537055,1.362444699,0.597547989,0.423905013
19,2185-2195,3.81175146,1.498314568,0.878161641,0.967705233,0.56814976,-0.758278744,0.119110961,1.024252145,-10.81654751,1.567372649,0.674348088,0.465659752
20,2195-2205,4.270862186,1.696706656,0.979497296,1.072808897,0.633768845,-1.024693372,0.231746098,1.21635914,-12.12683622,1.786875691,0.755747802,0.507156986
21,2205-2215,4.755217779,1.907181263,1.086580604,1.18394607,0.703507005,-1.3111409,0.359220065,1.422530144,-13.51731924,2.020916083,0.842120139,0.547240985
22,2215-2225,5.265661912,2.130192004,1.199629606,1.301377743,0.777461945,-1.615698306,0.500570774,1.642644153,-14.98991975,2.269469022,0.933730053,0.58488084
23,2225-2235,5.802865513,2.366049137,1.318809221,1.425294093,0.855703856,-1.937029924,0.655032161,1.876626232,-16.54581907,2.532530423,1.030752923,0.619185434
24,2235-2245,6.367370957,2.614954026,1.444247049,1.55583634,0.938286442,-2.274287143,0.822028978,2.124442537,-18.18569797,2.810124783,1.133295511,0.649398489
25,2245-2255,6.959639926,2.877032152,1.576047701,1.693115546,1.025256049,-2.627018603,1.001162663,2.386100733,-19.90994919,3.102312759,1.24141608,0.674884183
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
