Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.067049161,-0.037038818,0.008261126,0.029206222,0.019876195,0.009957624,-0.029286368,-0.027329204,-0.027996169,-0.00044716,-0.00519598,-0.007056628
4,2035-2045,0.09422465,-0.047274171,0.013630296,0.039202444,0.025378677,0.015246302,-0.042381277,-0.03219406,-0.061537296,0.002378433,-0.003193552,-0.003480446
5,2045-2055,0.137726039,-0.053462869,0.022430858,0.055229384,0.034920958,0.024128844,-0.062181157,-0.039927334,-0.128714738,0.0082102,0.000599911,0.001039903
6,2055-2065,0.20163738,-0.052242328,0.035994756,0.077841636,0.048354044,0.04187988,-0.08739075,-0.0472165,-0.254618854,0.019778137,0.007909032,0.008073567
7,2065-2075,0.289169946,-0.0400157,0.055754446,0.106950929,0.065393339,0.069817819,-0.113146478,-0.048863963,-0.468563935,0.041810115,0.019915965,0.021777516
8,2075-2085,0.40498418,-0.012873759,0.083031932,0.142298826,0.085667724,0.107769751,-0.132911298,-0.039883522,-0.803082704,0.079896608,0.03822339,0.046878872
9,2085-2095,0.553300584,0.034280931,0.119021012,0.1828294,0.108347126,0.152131293,-0.139659025,-0.015637964,-1.287867126,0.139977793,0.064296417,0.088979561
10,2095-2105,0.736380673,0.108588403,0.165512697,0.226550025,0.132005893,0.194652941,-0.126909834,0.027997765,-1.944787475,0.227549579,0.099232138,0.153227194
11,2105-2115,0.955068206,0.211880945,0.222514632,0.268605666,0.152254022,0.165860289,-0.1200849,0.087001106,-2.65071436,0.336307992,0.144330586,0.226975816
12,2115-2025,1.192267588,0.345138971,0.290150415,0.334772279,0.188778712,0.073483656,-0.116244021,0.148719973,-3.425523416,0.467874069,0.196557136,0.304024639
13,2125-2135,1.422929199,0.509575038,0.368004978,0.413021587,0.233222847,0.064293923,-0.13070063,0.187405816,-4.298278836,0.614620073,0.252979949,0.362926055
14,2135-2145,1.805119208,0.696846013,0.455487579,0.505829424,0.287805046,0.072812233,-0.18831967,0.24824836,-5.322917531,0.764765619,0.306410167,0.367913553
15,2145-2155,2.201978293,0.835887671,0.534219819,0.598806707,0.343127263,0.020884775,-0.163300089,0.398301045,-6.31003015,0.856106399,0.378873409,0.305144857
16,2155-2165,2.586142473,0.937210798,0.605481992,0.687718113,0.396385841,-0.113079154,-0.11236882,0.5413336,-7.332640737,1.00187006,0.450112857,0.351832979
17,2165-2175,2.976349523,1.10401518,0.691637708,0.777307247,0.450680711,-0.300662477,-0.051615267,0.689691037,-8.42476875,1.177549715,0.519301318,0.390514057
18,2175-2185,3.388269148,1.280378792,0.782421788,0.871520819,0.508524357,-0.518416099,0.027754912,0.853021017,-9.584628047,1.367860472,0.59199229,0.431300549
19,2185-2195,3.823176886,1.467322553,0.878296845,0.970945796,0.570161777,-0.762186708,0.124404282,1.030880977,-10.81763851,1.572788421,0.668792389,0.473055287
20,2195-2205,4.282287612,1.665714641,0.9796325,1.07604946,0.635780862,-1.028601337,0.237039418,1.222987971,-12.12792722,1.792291464,0.750192103,0.514552521
21,2205-2215,4.766643205,1.876189248,1.086715807,1.187186632,0.705519022,-1.315048864,0.364513386,1.429158976,-13.51841023,2.026331855,0.83656444,0.554636521
22,2215-2225,5.277087338,2.099199989,1.19976481,1.304618306,0.779473962,-1.619606271,0.505864095,1.649272985,-14.99101074,2.274884795,0.928174354,0.592276376
23,2225-2235,5.814290939,2.335057122,1.318944425,1.428534655,0.857715873,-1.940937889,0.660325482,1.883255063,-16.54691006,2.537946196,1.025197225,0.626580969
24,2235-2245,6.378796383,2.583962011,1.444382253,1.559076902,0.940298459,-2.278195108,0.827322299,2.131071368,-18.18678896,2.815540556,1.127739813,0.656794025
25,2245-2255,6.971065352,2.846040137,1.576182905,1.696356109,1.027268066,-2.630926567,1.006455984,2.392729564,-19.91104018,3.107728531,1.235860382,0.682279719
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
34,2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
