Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.074464751,0.024427838,0.005470404,0.02766173,0.02105729,-0.031439069,-0.037254601,-0.036065872,-0.024350017,-0.006680687,-0.003826906,-0.013464861
4,2035-2045,0.118379198,0.03347571,0.011920694,0.043583982,0.031660432,-0.039017512,-0.059449997,-0.051720142,-0.060197797,-0.007810566,-0.002481897,-0.018342104
5,2045-2055,0.183291,0.051537827,0.022277705,0.066388894,0.046827167,-0.044146969,-0.090274519,-0.071564669,-0.133045225,-0.007219133,0.000761391,-0.024833469
6,2055-2065,0.274335258,0.083543029,0.037631392,0.097298774,0.067168545,-0.04237073,-0.129068011,-0.093335759,-0.268173758,-0.002341315,0.007395936,-0.03208336
7,2065-2075,0.39559158,0.133861129,0.059505811,0.136762416,0.09286473,-0.032311691,-0.171386166,-0.112370316,-0.495779991,0.011340304,0.018560293,-0.036638099
8,2075-2085,0.552838304,0.207074552,0.089166292,0.184924692,0.123945477,-0.014772913,-0.21094309,-0.124021999,-0.848975023,0.039234434,0.035757466,-0.034228191
9,2085-2095,0.751488223,0.308945552,0.12767252,0.241235132,0.160024758,0.00609332,-0.241128187,-0.123992983,-1.3577915,0.086930929,0.060286735,-0.0197645
10,2095-2105,0.994983885,0.447307481,0.176656746,0.304450545,0.200251271,0.021458998,-0.256097122,-0.108458921,-2.044023267,0.159298186,0.092963637,0.011208562
11,2105-2115,1.285626205,0.623645623,0.235581215,0.370520409,0.240863317,-0.038436967,-0.283142598,-0.081395814,-2.78046028,0.248117903,0.134784726,0.044296261
12,2115-2025,1.607110826,0.837916264,0.304763867,0.45938541,0.297197642,-0.166778121,-0.316453408,-0.052774684,-3.585665712,0.356240398,0.183246549,0.07581097
13,2125-2135,1.937307131,1.091542639,0.383642459,0.561881246,0.363046696,-0.241393599,-0.368037285,-0.044641941,-4.484072392,0.477104102,0.235751721,0.087869221
14,2135-2145,2.40645658,1.378746789,0.471769992,0.680535641,0.440745646,-0.314993352,-0.457654942,-0.020963824,-5.522016026,0.600929185,0.285991683,0.050452628
15,2145-2155,2.891589199,1.627140218,0.55345941,0.799865928,0.519472935,-0.443841327,-0.476457812,0.07910605,-6.539495206,0.679170899,0.352295504,-0.042305799
16,2155-2165,3.365952356,1.841146541,0.629515389,0.915266921,0.595986444,-0.643902063,-0.468480539,0.178481629,-7.594481334,0.805297276,0.418267402,-0.043050021
17,2165-2175,3.849076469,2.110463242,0.718509294,1.031958321,0.673957269,-0.894280387,-0.44892461,0.285006748,-8.717486168,0.958528807,0.483063737,-0.049872722
18,2175-2185,4.357750951,2.393573286,0.81224879,1.154393577,0.75645477,-1.177422659,-0.412453659,0.404776591,-9.909497604,1.125464257,0.551181172,-0.056469472
19,2185-2195,4.894169368,2.692510419,0.911224532,1.283427426,0.843957864,-1.489795988,-0.360812156,0.536935287,-11.17624059,1.305867924,0.623182931,-0.064427019
20,2195-2205,5.460252336,3.00892144,1.015827697,1.419733004,0.936834268,-1.828504357,-0.295606438,0.680882161,-12.52207673,1.499527208,0.69952614,-0.075316732
21,2205-2215,6.057562962,3.344015596,1.126361261,1.563817166,1.035354208,-2.191288902,-0.218214542,0.836199525,-13.95009528,1.70627844,0.780559169,-0.0905496
22,2215-2225,6.687318292,3.698658432,1.243054672,1.716049808,1.139710525,-2.576478935,-0.129764106,1.002598275,-15.46234352,1.926006615,0.866529324,-0.111339384
23,2225-2235,7.350452354,4.073450475,1.366080884,1.87669785,1.25004045,-2.982916594,-0.031137844,1.179885027,-17.06009019,2.158644082,0.957599548,-0.138706046
24,2235-2245,8.047693455,4.468798221,1.495573176,2.045956745,1.366445065,-3.409878927,0.077006556,1.367942229,-18.74407783,2.40417042,1.053867812,-0.173496919
25,2245-2255,8.77963928,4.884977199,1.631640313,2.223977224,1.48900537,-3.857006487,0.194210231,1.566716315,-20.51474439,2.662613427,1.155385951,-0.216414429
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
