Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2,2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-2035,0.084725802,-0.030709024,0.085013956,0.042022886,0.017146827,-0.111435516,-0.052346557,-0.030335384,-0.04383625,0.000626017,0.064424699,-0.025297457
4,2035-2045,0.123823723,-0.01952332,0.155833354,0.076899305,0.029969026,-0.173861037,-0.093910876,-0.058833257,-0.095751415,-0.000861592,0.104510367,-0.048294278
5,2045-2055,0.18734845,0.004589084,0.230951407,0.122863569,0.053869346,-0.253771628,-0.152964622,-0.097404019,-0.19455079,0.005162614,0.175128097,-0.081221509
6,2055-2065,0.254786492,0.042091714,0.353118717,0.188248237,0.094303984,-0.346378322,-0.231343154,-0.1441861,-0.370005992,0.020810006,0.264517883,-0.125963464
7,2065-2075,0.33512237,0.087306505,0.527824722,0.280186762,0.154525321,-0.452198101,-0.323678237,-0.196950888,-0.657700513,0.054890921,0.371898334,-0.181227197
8,2075-2085,0.469315833,0.14175879,0.713839995,0.376646783,0.235827736,-0.568769597,-0.421265128,-0.251141469,-1.092751672,0.119083351,0.518743678,-0.241288299
9,2085-2095,0.647514123,0.221183436,0.905250019,0.487958981,0.34333035,-0.695039116,-0.517706478,-0.300816849,-1.705406694,0.218626908,0.694131726,-0.299026408
10,2095-2105,0.79387594,0.322066331,1.181032547,0.660132129,0.487281623,-0.834168965,-0.60455683,-0.341500669,-2.525489512,0.356400108,0.856223895,-0.351296598
11,2105-2115,1.30295419,0.460585666,1.291233192,0.852448377,0.584392691,-1.204672051,-0.803625336,-0.329970255,-3.23342593,0.334100624,1.219859858,-0.473881027
12,2115-2025,1.468645398,0.588562305,1.648561129,1.077721073,0.786156907,-1.467478813,-0.917298237,-0.375699796,-4.188157423,0.500248783,1.427223071,-0.548484399
13,2125-2135,1.648999956,0.728406369,1.976261294,1.306064516,0.996958835,-1.749497714,-1.028600804,-0.409644322,-5.172885093,0.671370765,1.651383507,-0.618817309
14,2135-2145,1.972479913,0.86682025,2.284497176,1.536843421,1.217954119,-2.099017467,-1.139598071,-0.420904674,-6.209129999,0.849354298,1.833154255,-0.69245322
15,2145-2155,2.277572054,0.972609496,2.546744244,1.761382979,1.442305087,-2.509271479,-1.191762484,-0.370022653,-7.270131002,1.004351953,2.098245374,-0.762023569
16,2155-2165,2.568004459,1.072385488,2.800313879,1.980943793,1.669570543,-2.975075878,-1.220850876,-0.325949186,-8.381510365,1.230488583,2.350051864,-0.768372303
17,2165-2175,2.852055575,1.243288944,3.138515407,2.197669627,1.899779207,-3.495229052,-1.240376089,-0.282887346,-9.559836817,1.465987203,2.572203589,-0.791170249
18,2175-2185,3.166782382,1.40373214,3.466062863,2.431852608,2.148401091,-4.054754927,-1.240179557,-0.225614573,-10.80525882,1.713754121,2.808066821,-0.812844147
19,2185-2195,3.5063616,1.566525724,3.801420003,2.681025821,2.412819729,-4.656636978,-1.224981934,-0.158109373,-12.12683278,1.976667731,3.058021899,-0.836281438
20,2195-2205,3.869742181,1.737406328,4.152996165,2.945214947,2.692521167,-5.301613715,-1.198205734,-0.082335552,-13.53087923,2.255883613,3.323595419,-0.864325585
21,2205-2215,4.257124267,1.918865267,4.52484538,3.225126384,2.987832648,-5.989592102,-1.162214476,0.000694578,-15.02158855,2.551999725,3.606134506,-0.899227626
22,2215-2225,4.665694686,2.110152331,4.917193276,3.521263453,3.301026661,-6.719991705,-1.116436089,0.090570372,-16.60004837,2.866521989,3.904047558,-0.939994159
23,2225-2235,5.061900324,2.292063192,5.311395458,3.831589495,3.650775772,-7.489677722,-1.038676528,0.188400699,-18.25118355,3.211463478,4.191265348,-0.959315962
24,2235-2245,5.19783057,2.320654455,5.563021448,4.137025326,4.170081941,-8.277173294,-0.759131911,0.304311399,-19.85368174,3.672616609,4.273272857,-0.748827664
25,2245-2255,3.889643216,1.509380266,4.980190483,4.344470071,5.490495175,-8.97840769,0.53388829,0.487414519,-20.82509096,4.657529182,3.222254492,0.688232956
26,2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
27,2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
28,2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
29,2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
30,2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
31,2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
32,2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
33,2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
